date,MSP,MSP_TVC,CMCF,CMCF_TVC,YOU,SMCI,SMCI_TVC,county_jails,community_work_centers,REGIONAL_CORRECTIONAL_FACILITIES,PRIVATE_PRISONS,RESTITUTION_CENTERS,TRANSITIONAL_HOUSING,Governor's_Mansion,E-CODE
2001-06-09,5378,,3010,,,1955,,1394,1240,1992,3214,15,,6,
2001-06-10,5376,,3011,,,1955,,1395,1240,1991,3211,15,,6,
2001-06-11,5371,,3023,,,1970,,1403,1268,1992,3208,17,,6,
2001-06-12,5394,,2995,,,1967,,1424,1274,1993,3203,17,,6,
2001-06-13,5375,,3008,,,1962,,1419,1276,1976,3192,16,,6,
2001-06-14,5382,,3007,,,1978,,1408,1283,1973,3192,16,,6,
2001-06-15,5360,,3013,,,1980,,1425,1253,1985,3190,14,,6,
2001-06-16,5359,,3013,,,1980,,1426,1250,1984,3190,14,,6,
2001-06-17,5359,,3015,,,1980,,1426,1250,1983,3190,14,,6,
2001-06-18,5356,,3012,,,2011,,1442,1266,1982,3184,16,,6,
2001-06-19,5379,,3008,,,1999,,1410,1272,1979,3199,16,,6,
2001-06-20,5368,,3035,,,1998,,1410,1278,1987,3197,16,,6,
2001-06-21,5379,,3052,,,1993,,1397,1278,1995,3197,16,,6,
2001-06-22,5344,,3035,,,1993,,1387,1246,2032,3213,17,,6,
2001-06-23,5343,,3034,,,1992,,1387,1247,2032,3213,17,,6,
2001-06-24,5340,,3033,,,1990,,1387,1246,2032,3213,17,,6,
2001-06-25,5356,,3029,,,1979,,1363,1278,2027,3230,17,,6,
2001-06-26,5326,,3051,,,1896,,1369,1278,2026,3313,17,,6,
2001-06-27,5267,,3056,,,1913,,1341,1281,2032,3357,17,,6,
2001-06-28,5284,,3042,,,1886,,1356,1279,2032,3397,17,,6,
2001-06-29,5212,,3031,,,1905,,1359,1269,1828,3468,17,,6,
2001-06-30,5210,,3031,,,1904,,1364,1269,2026,3467,17,,6,
2001-07-01,5206,,3030,,,1904,,1364,1269,2026,3466,17,,6,
2001-07-02,5224,,3020,,,1904,,1362,1283,2040,3464,17,,6,
2001-07-03,5220,,3041,,,1904,,1390,1277,2035,3467,17,,6,
2001-07-04,5219,,3044,,,1904,,1390,1277,2034,3467,17,,6,
2001-07-05,5227,,3033,,,1902,,1427,1279,2035,3465,17,,6,
2001-07-06,5220,,3066,,,1912,,1370,1269,2035,3467,17,,6,
2001-07-07,5220,,3064,,,1911,,1369,1269,2035,3467,17,,6,
2001-07-08,5219,,3064,,,1911,,1369,1268,2034,3467,17,,6,
2001-07-09,5250,,3035,,,1903,,1404,1280,2032,3466,17,,6,
2001-07-10,5250,,3039,,,1901,,1448,1277,2028,3465,17,,6,
2001-07-11,5244,,3018,,,1933,,1454,1273,2027,3463,17,,6,
2001-07-12,5277,,3000,,,1931,,1450,1273,2026,3460,17,,6,
2001-07-13,5268,,3004,,,1932,,1460,1197,2026,3457,18,,5,
2001-07-14,5277,,3005,,,1932,,1459,1186,2025,3457,18,,5,
2001-07-15,5275,,3006,,,1931,,1459,1186,2024,3456,18,,5,
2001-07-16,5263,,3015,,,1966,,1430,1256,2019,3456,18,,6,
2001-07-17,5293,,3002,,,1964,,1430,1261,2012,3447,18,,6,
2001-07-18,5284,,3001,,,1962,,1457,1259,2011,3446,18,,6,
2001-07-19,5275,,2981,,,1992,,1473,1258,2011,3443,18,,6,
2001-07-20,5294,,2973,,,1980,,1462,1232,2025,3446,18,,5,
2001-07-21,5292,,2974,,,1981,,1466,1231,2024,3445,18,,5,
2001-07-22,5291,,2974,,,1981,,1466,1232,2024,3443,18,,5,
2001-07-23,5286,,2963,,,1953,,1474,1261,2031,3452,18,,6,
2001-07-24,5279,,2993,,,1950,,1488,1265,2025,3449,18,,6,
2001-07-25,5314,,2979,,,1941,,1473,1261,2023,3447,18,,6,
2001-07-26,5284,,2962,,,1962,,1502,1268,2008,3467,18,,6,
2001-07-27,5303,,2974,,,1956,,1514,1235,2007,3479,18,,6,
2001-07-28,5305,,2973,,,1958,,1517,1235,2007,3477,18,,6,
2001-07-29,5305,,2975,,,1959,,1517,1235,2007,3477,18,,6,
2001-07-30,5305,,2978,,,1956,,1522,1256,2004,3474,17,,6,
2001-07-31,5304,,2991,,,1979,,1522,1249,2002,3470,17,,6,
2001-08-01,5336,,3019,,,1977,,1481,1248,2003,3468,17,,6,
2001-08-02,5332,,3037,,,1972,,1476,1247,2008,3474,17,,6,
2001-08-03,5326,,3023,,,1950,,1476,1197,2033,3480,17,,5,
2001-08-04,5326,,3023,,,1950,,1476,1196,2032,3480,17,,5,
2001-08-05,5325,,3023,,,1949,,1494,1197,2032,3480,17,,5,
2001-08-06,5347,,3014,,,1940,,1509,1227,2028,3468,17,,6,
2001-08-07,5312,,3019,,,1959,,1509,1229,2020,3462,17,,6,
2001-08-08,5308,,3034,,,1949,,1491,1239,2009,3459,17,,6,
2001-08-09,5299,,3020,,,1977,,1486,1247,2002,3473,17,,6,
2001-08-10,5299,,3038,,,1952,,1476,1211,2013,3485,18,,6,
2001-08-11,5295,,3037,,,1953,,1476,1209,2013,3483,18,,6,
2001-08-12,5293,,3037,,,1953,,1469,1208,2013,3482,18,,6,
2001-08-13,5285,,2998,,,1975,,1498,1236,2005,3482,18,,6,
2001-08-14,5281,,2980,,,1996,,1499,1242,2001,3472,18,,6,
2001-08-15,5294,,2985,,,1993,,1504,1242,2002,3465,18,,6,
2001-08-16,5271,,2988,,,1986,,1500,1228,2020,3454,18,,6,
2001-08-17,5232,,2984,,,1978,,1506,1204,2025,3482,18,,6,
2001-08-18,5230,,2985,,,1979,,1506,1203,2025,3482,18,,6,
2001-08-19,5228,,2983,,,1980,,1506,1201,2025,3480,18,,6,
2001-08-20,5211,,2975,,,2002,,1536,1234,2025,3481,18,,6,
2001-08-21,5221,,2950,,,1987,,1544,1238,2022,3497,18,,6,
2001-08-22,5211,,2962,,,1980,,1546,1239,2023,3500,18,,6,
2001-08-23,5202,,2984,,,1982,,1553,1242,2019,3496,18,,6,
2001-08-24,5215,,2985,,,1973,,1543,1218,2037,3494,18,,6,
2001-08-25,5212,,2987,,,1974,,1547,1217,2038,3493,18,,6,
2001-08-26,5207,,2985,,,1973,,1550,1217,2037,3492,18,,6,
2001-08-27,5204,,3003,,,1967,,1550,1234,2033,3493,16,,6,
2001-08-28,5201,,2983,,,1991,,1555,1240,2033,3503,15,,6,
2001-08-29,5222,,2997,,,1988,,1536,1241,2032,3503,15,,6,
2001-08-30,5219,,2995,,,1999,,1540,1228,2026,3506,15,,6,
2001-08-31,5218,,3008,,,1989,,1549,1228,2038,3493,15,,6,
2001-09-01,5218,,3008,,,1988,,1559,1228,2038,3493,15,,6,
2001-09-02,5217,,3008,,,1988,,1559,1228,2036,3493,15,,6,
2001-09-03,5217,,3007,,,1988,,1559,1228,2036,3492,15,,5,
2001-09-04,5207,,3009,,,2005,,1555,1227,2031,3487,15,,5,
2001-09-05,5221,,3019,,,2007,,1548,1226,2022,3490,15,,5,
2001-09-06,5217,,3052,,,1983,,1500,1230,2032,3505,15,,5,
2001-09-07,5206,,3047,,,1978,,1512,1210,2036,3513,15,,6,
2001-09-08,5203,,3048,,,1978,,1515,1209,2036,3513,15,,6,
2001-09-09,5204,,3047,,,1977,,1513,1208,2036,3514,15,,6,
2001-09-10,5202,,3039,,,1996,,1517,1242,2030,3513,16,,6,
2001-09-11,5215,,3039,,,1989,,1490,1242,2023,3510,16,,6,
2001-09-12,5201,,3023,,,2012,,1517,1230,2015,3509,16,,6,
2001-09-13,5193,,3063,,,1985,,1518,1236,2027,3509,16,,6,
2001-09-14,5217,,3034,,,1974,,1557,1210,2028,3502,16,,6,
2001-09-15,5214,,3036,,,1973,,1558,1209,2027,3502,16,,6,
2001-09-16,5214,,3039,,,1971,,1558,1208,2027,3501,16,,6,
2001-09-17,5205,,3061,,,1962,,1562,1241,2023,3498,16,,6,
2001-09-18,5229,,3042,,,1961,,1554,1246,2017,3500,16,,6,
2001-09-19,5219,,3035,,,1979,,1545,1246,2010,3493,16,,6,
2001-09-20,5210,,3053,,,1995,,1517,1252,2015,3491,16,,6,
2001-09-21,5204,,3053,,,1988,,1519,1210,2032,3493,13,,6,
2001-09-22,5204,,3053,,,1984,,1519,1209,2032,3493,13,,6,
2001-09-23,5200,,3051,,,1982,,1519,1210,2031,3493,13,,6,
2001-09-24,5195,,3040,,,1989,,1554,1253,2034,3490,18,,6,
2001-09-25,5192,,3039,,,2019,,1563,1252,2031,3490,18,,6,
2001-09-26,5200,,3041,,,2019,,1562,1256,2033,3488,18,,6,
2001-09-27,5195,,3049,,,2038,,1569,1255,2034,3486,18,,6,
2001-09-28,5222,,3025,,,2045,,1600,1224,2032,3485,18,,6,
2001-09-29,5221,,3022,,,2045,,1599,1221,2032,3485,18,,6,
2001-09-30,5223,,3021,,,2045,,1598,1222,2031,3485,18,,6,
2001-10-01,5224,,3037,,,2057,,1574,1239,2034,3486,17,,6,
2001-10-02,5244,,3017,,,2056,,1562,1243,2031,3494,15,,6,
2001-10-03,5239,,3006,,,2084,,1562,1245,2026,3493,15,,6,
2001-10-04,5262,,2996,,,2075,,1618,1243,2027,3479,15,,6,
2001-10-05,5254,,3009,,,2078,,1611,1189,2027,3479,13,,6,
2001-10-06,5252,,3009,,,2077,,1609,1187,2027,3479,13,,6,
2001-10-07,5250,,3004,,,2077,,1609,1188,2027,3478,13,,6,
2001-10-08,5241,,3008,,,2076,,1600,1239,2022,3477,14,,6,
2001-10-09,5270,,2997,,,2071,,1615,1241,2020,3474,14,,6,
2001-10-10,5271,,2989,,,2068,,1623,1246,2032,3483,15,,6,
2001-10-11,5223,,3017,,,2055,,1620,1235,2037,3505,14,,6,
2001-10-12,5218,,2988,,,2078,,1609,1212,2034,3506,13,,6,
2001-10-13,5213,,2986,,,2077,,1608,1212,2033,3504,13,,6,
2001-10-14,5211,,2985,,,2077,,1609,1211,2033,3504,14,,6,
2001-10-15,5231,,2988,,,2072,,1619,1248,2018,3502,15,,6,
2001-10-16,5230,,2980,,,2092,,1627,1247,2014,3499,15,,6,
2001-10-17,5239,,2976,,,2094,,1648,1249,2012,3498,15,,6,
2001-10-18,5243,,3000,,,2077,,1637,1241,2029,3503,15,,6,
2001-10-19,5262,,3030,,,2057,,1600,1196,2032,3503,13,,5,
2001-10-20,5261,,3030,,,2057,,1598,1196,2031,3502,13,,5,
2001-10-21,5261,,3031,,,2059,,1599,1196,2031,3501,13,,5,
2001-10-22,5256,,3036,,,2046,,1611,1241,2026,3496,14,,6,
2001-10-23,5239,,2999,,,2065,,1627,1241,2025,3511,14,,6,
2001-10-24,5267,,2949,,,2091,,1643,1241,2020,3508,18,,6,
2001-10-25,5250,,2991,,,2088,,1628,1239,2039,3511,18,,6,
2001-10-26,5251,,2978,,,2108,,1636,1213,2035,3509,18,,5,
2001-10-27,5248,,2975,,,2105,,1637,1212,2035,3507,18,,5,
2001-10-28,5247,,2973,,,2104,,1637,1212,2035,3506,18,,5,
2001-10-29,5269,,2956,,,2110,,1638,1249,2027,3507,18,,6,
2001-10-30,5274,,2972,,,2109,,1651,1245,2023,3506,18,,6,
2001-10-31,5262,,2952,,,2142,,1660,1255,2023,3500,18,,6,
2001-11-01,5252,,2976,,,2115,,1628,1260,2037,3511,18,,5,
2001-11-02,5246,,2943,,,2137,,1666,1252,2028,3522,18,,5,
2001-11-03,5244,,2939,,,2135,,1670,1252,2027,3521,18,,5,
2001-11-04,5243,,2939,,,2134,,1670,1252,2027,3520,18,,5,
2001-11-05,5241,,2961,,,2128,,1668,1269,2022,3517,18,,5,
2001-11-06,5240,,2972,,,2114,,1695,1265,2038,3516,17,,5,
2001-11-07,5252,,2950,,,2114,,1697,1267,2036,3526,18,,5,
2001-11-08,5248,,2942,,,2138,,1677,1265,2034,3539,18,,5,
2001-11-09,5236,,2980,,,2140,,1655,1211,2034,3537,13,,4,
2001-11-10,5233,,2980,,,2140,,1655,1209,2034,3535,13,,4,
2001-11-11,5232,,2978,,,2140,,1656,1191,2034,3535,13,,4,
2001-11-12,5247,,2976,,,2140,,1656,1242,2034,3535,18,,5,
2001-11-13,5242,,2955,,,2152,,1626,1262,2031,3528,18,,5,
2001-11-14,5241,,2955,,,2144,,1641,1266,2029,3527,18,,5,
2001-11-15,5258,,2949,,,2128,,1651,1266,2041,3526,18,,5,
2001-11-16,5245,,2953,,,2090,,1677,1285,2032,3539,18,,4,
2001-11-17,5244,,2953,,,2091,,1678,1284,2031,3538,18,,4,
2001-11-18,5244,,2954,,,2090,,1678,1284,2031,3536,18,,4,
2001-11-19,5241,,2973,,,2077,,1689,1281,2034,3537,18,,5,
2001-11-20,5229,,2956,,,2112,,1721,1284,2034,3535,18,,5,
2001-11-21,5205,,2982,,,2105,,1693,1284,2044,3546,18,,5,
2001-11-22,5205,,2982,,,2104,,1692,1283,2043,3545,18,,5,
2001-11-23,5200,,2982,,,2104,,1691,1281,2042,3545,18,,5,
2001-11-24,5406,,2980,,,2104,,1692,1280,1834,3545,18,,5,
2001-11-25,5406,,2981,,,2104,,1692,1280,1834,3544,18,,5,
2001-11-26,5369,,2989,,,2099,,1702,1248,1828,3532,18,,5,
2001-11-27,5367,,3006,,,2091,,1726,1244,1823,3530,18,,5,
2001-11-28,5278,,2984,,,2079,,1751,1248,1870,3593,18,,5,
2001-11-29,5211,,2961,,,2089,,1748,1248,1931,3611,18,,5,
2001-11-30,5193,,2946,,,2086,,1731,1251,1970,3613,18,,5,
2001-12-01,5192,,2947,,,2086,,1732,1252,1969,3613,18,,5,
2001-12-02,5189,,2946,,,2084,,1731,1251,1969,3613,18,,5,
2001-12-03,5183,,2932,,,2078,,1745,1267,1967,3611,18,,5,
2001-12-04,5228,,2912,,,2066,,1742,1277,1964,3605,18,,5,
2001-12-05,5215,,2922,,,2095,,1747,1272,1962,3601,18,,5,
2001-12-06,5242,,2931,,,2096,,1715,1267,1960,3602,18,,5,
2001-12-07,5242,,2918,,,2119,,1710,1270,1958,3594,16,,5,
2001-12-08,5239,,2918,,,2119,,1712,1270,1958,3592,16,,5,
2001-12-09,5239,,2918,,,2118,,1712,1270,1958,3592,16,,5,
2001-12-10,5237,,2931,,,2112,,1739,1270,1956,3588,18,,5,
2001-12-11,5243,,2932,,,2112,,1719,1259,1953,3591,18,,5,
2001-12-12,5240,,2929,,,2111,,1700,1259,1979,3594,18,,5,
2001-12-13,5236,,2903,,,2122,,1689,1277,1992,3600,18,,5,
2001-12-14,5225,,2941,,,2121,,1685,1279,1991,3594,17,,5,
2001-12-15,5226,,2940,,,2121,,1681,1274,1991,3593,17,,5,
2001-12-16,5225,,2940,,,2121,,1681,1273,1991,3591,17,,5,
2001-12-17,5242,,2927,,,2119,,1701,1265,1989,3587,18,,5,
2001-12-18,5238,,2928,,,2107,,1691,1271,1981,3599,18,,5,
2001-12-19,5269,,2907,,,2106,,1686,1268,1981,3620,18,,5,
2001-12-20,5254,,2900,,,2122,,1706,1279,1987,3617,18,,5,
2001-12-21,5260,,2881,,,2060,,1727,1293,1979,3609,18,,5,
2001-12-22,5259,,2881,,,2059,,1728,1293,1979,3607,18,,5,
2001-12-23,5259,,2880,,,2059,,1728,1293,1979,3607,18,,5,
2001-12-24,5258,,2880,,,2059,,1728,1293,1977,3607,18,,5,
2001-12-25,5257,,2878,,,2057,,1728,1293,1975,3606,18,,5,
2001-12-26,5253,,2892,,,2055,,1727,1289,1982,3604,18,,5,
2001-12-27,5239,,2891,,,2048,,1732,1271,1985,3616,17,,5,
2001-12-28,5257,,2891,,,2050,,1718,1275,1982,3606,17,,5,
2001-12-29,5257,,2890,,,2050,,1718,1276,1981,3606,17,,5,
2001-12-30,5255,,2891,,,2049,,1718,1277,1978,3606,17,,5,
2001-12-31,5251,,2900,,,2074,,1688,1280,1972,3609,17,,5,
2002-01-01,5248,,2897,,,2074,,1687,1280,1972,3609,17,,5,
2002-01-02,5278,,2911,,,2073,,1663,1277,1967,3608,17,,5,
2002-01-03,5267,,2941,,,2074,,1661,1270,1964,3604,17,,5,
2002-01-04,5278,,2947,,,2068,,1649,1269,1973,3611,17,,5,
2002-01-05,5278,,2948,,,2067,,1649,1269,1972,3611,17,,5,
2002-01-06,5277,,2946,,,2067,,1649,1268,1972,3611,17,,5,
2002-01-07,5270,,2953,,,2065,,1634,1272,1981,3613,17,,5,
2002-01-08,5285,,2972,,,2055,,1602,1276,1979,3614,17,,5,
2002-01-09,5276,,2978,,,2074,,1571,1288,1977,3614,17,,5,
2002-01-10,5284,,2979,,,2079,,1562,1285,1986,3594,17,,5,
2002-01-11,5299,,2961,,,2081,,1561,1181,1986,3590,16,,5,
2002-01-12,5298,,2959,,,2080,,1559,1183,1983,3590,16,,5,
2002-01-13,5298,,2960,,,2079,,1559,1182,1983,3587,16,,5,
2002-01-14,5290,,2962,,,2072,,1563,1285,1987,3595,17,,5,
2002-01-15,5298,,2939,,,2067,,1574,1287,1981,3605,17,,5,
2002-01-16,5287,,2967,,,2069,,1561,1281,1980,3600,17,,5,
2002-01-17,5314,,2938,,,2059,,1569,1288,1980,3594,17,,6,
2002-01-18,5319,,2914,,,2075,,1559,1207,1969,3587,16,,6,
2002-01-19,5319,,2914,,,2070,,1560,1206,1968,3583,16,,6,
2002-01-20,5318,,2913,,,2071,,1560,1206,1968,3581,16,,6,
2002-01-21,5318,,2911,,,2071,,1560,1288,1965,3580,17,,6,
2002-01-22,5306,,2920,,,2048,,1543,1291,1982,3584,17,,6,
2002-01-23,5304,,2911,,,2068,,1521,1281,1980,3578,17,,6,
2002-01-24,5317,,2904,,,2070,,1542,1275,1975,3573,17,,6,
2002-01-25,5317,,2867,,,2048,,1558,1225,1973,3590,16,,6,
2002-01-26,5313,,2868,,,2048,,1556,1225,1972,3589,16,,6,
2002-01-27,5312,,2867,,,2048,,1556,1222,1972,3588,16,,6,
2002-01-28,5323,,2859,,,2040,,1582,1267,1960,3588,17,,6,
2002-01-29,5299,,2865,,,2033,,1614,1273,1958,3579,17,,6,
2002-01-30,5283,,2881,,,2034,,1619,1273,1955,3571,17,,6,
2002-01-31,5288,,2886,,,2031,,1621,1271,1954,3566,17,,6,
2002-02-01,5303,,2844,,,2024,,1634,1240,1963,3572,17,,6,
2002-02-02,5300,,2843,,,2023,,1633,1239,1963,3572,17,,6,
2002-02-03,5299,,2844,,,2023,,1633,1238,1963,3570,17,,6,
2002-02-04,5291,,2825,,,2040,,1641,1274,1982,3561,17,,6,
2002-02-05,5311,,2837,,,2029,,1656,1274,1978,3559,16,,6,
2002-02-06,5300,,2831,,,2046,,1659,1274,1976,3572,16,,6,
2002-02-07,5319,,2804,,,2045,,1701,1269,1976,3570,16,,6,
2002-02-08,5314,,2825,,,2049,,1701,1218,1977,3572,17,,6,
2002-02-09,5313,,2825,,,2048,,1685,1218,1976,3571,17,,6,
2002-02-10,5310,,2824,,,2047,,1684,1217,1976,3571,17,,6,
2002-02-11,5309,,2828,,,2030,,1705,1271,1979,3568,16,,6,
2002-02-12,5329,,2816,,,2051,,1679,1267,1977,3567,16,,6,
2002-02-13,5314,,2847,,,2053,,1653,1275,1991,3563,16,,6,
2002-02-14,5330,,2873,,,2037,,1638,1270,1994,3559,17,,6,
2002-02-15,5325,,2871,,,2059,,1617,1230,1996,3564,18,,6,
2002-02-16,5323,,2871,,,2061,,1616,1230,1994,3561,18,,6,
2002-02-17,5323,,2872,,,2061,,1616,1230,1994,3561,18,,6,
2002-02-18,5319,,2875,,,2059,,1615,1271,1993,3560,18,,6,
2002-02-19,5313,,2918,,,2053,,1595,1259,1992,3555,17,,6,
2002-02-20,5331,,2888,,,2031,,1625,1266,1995,3565,17,,6,
2002-02-21,5312,,2895,,,2062,,1634,1266,2000,3563,16,,6,
2002-02-22,5292,,2925,,,2060,,1607,1241,1996,3578,15,,6,
2002-02-23,5290,,2924,,,2060,,1607,1241,1995,3577,15,,6,
2002-02-24,5288,,2922,,,2058,,1607,1243,1994,3576,15,,6,
2002-02-25,5276,,2926,,,2066,,1596,1266,1988,3568,17,,6,
2002-02-26,5297,,2928,,,2065,,1583,1270,1992,3563,17,,6,
2002-02-27,5275,,2925,,,2053,,1581,1262,1983,3564,16,,6,
2002-02-28,5297,,2931,,,2046,,1588,1275,1967,3559,15,,6,
2002-03-01,5288,,2927,,,2007,,1597,1243,1997,3555,15,,5,
2002-03-02,5285,,2927,,,2007,,1599,1243,1995,3555,15,,5,
2002-03-03,5284,,2925,,,2007,,1599,1243,1994,3553,15,,5,
2002-03-04,5295,,2914,,,2003,,1605,1274,1989,3556,15,,6,
2002-03-05,5285,,2934,,,1996,,1613,1272,1988,3557,15,,6,
2002-03-06,5286,,2936,,,1996,,1605,1273,1986,3556,15,,6,
2002-03-07,5287,,2930,,,2013,,1625,1274,1982,3561,15,,6,
2002-03-08,5278,,2930,,,2010,,1611,1242,1996,3566,12,,6,
2002-03-09,5278,,2930,,,2010,,1613,1242,1995,3566,12,,6,
2002-03-10,5275,,2929,,,2010,,1613,1242,1995,3565,12,,6,
2002-03-11,5259,,2931,,,2021,,1630,1267,1990,3567,14,,6,
2002-03-12,5271,,2929,,,2022,,1636,1270,1983,3570,14,,6,
2002-03-13,5263,,2936,,,2042,,1643,1264,1983,3566,14,,6,
2002-03-14,5283,,2947,,,2043,,1699,1262,1984,3571,14,,6,
2002-03-15,5275,,2941,,,2026,,1715,1251,1993,3576,14,,5,
2002-03-16,5274,,2941,,,2025,,1716,1250,1992,3575,14,,5,
2002-03-17,5271,,2940,,,2025,,1716,1251,1991,3574,14,,5,
2002-03-18,5275,,2945,,,2016,,1705,1285,1991,3577,14,,6,
2002-03-19,5274,,2948,,,2038,,1697,1283,1988,3576,14,,6,
2002-03-20,5288,,2962,,,2037,,1673,1280,1983,3578,14,,6,
2002-03-21,5286,,2939,,,2037,,1681,1286,1995,3578,14,,6,
2002-03-22,5293,,2963,,,2041,,1740,1271,1994,3587,11,,6,
2002-03-23,5290,,2962,,,2040,,1643,1280,1994,3586,11,,6,
2002-03-24,5288,,2962,,,2040,,1639,1274,1994,3586,11,,6,
2002-03-25,5286,,2952,,,2047,,1642,1283,1989,3592,14,,6,
2002-03-26,5295,,2964,,,2045,,1652,1279,1981,3593,14,,6,
2002-03-27,5295,,2948,,,2056,,1671,1271,1977,3580,14,,6,
2002-03-28,5288,,2962,,,2049,,1684,1274,1976,3594,14,,6,
2002-03-29,5296,,2972,,,2039,,1659,1260,1986,3590,14,,6,
2002-03-30,5295,,2972,,,2039,,1662,1260,1984,3590,14,,6,
2002-03-31,5294,,2974,,,2039,,1662,1261,1984,3589,14,,6,
2002-04-01,5287,,2979,,,2063,,1637,1266,1983,3589,14,,6,
2002-04-02,5309,,2995,,,2061,,1612,1262,1981,3584,16,,6,
2002-04-03,5304,,2988,,,2080,,1594,1273,1976,3586,16,,6,
2002-04-04,5300,,2985,,,2069,,1617,1286,1995,3594,15,,6,
2002-04-05,5297,,2983,,,2050,,1620,1257,1989,3592,14,,6,
2002-04-06,5298,,2983,,,2049,,1622,1256,1989,3592,14,,6,
2002-04-07,5296,,2983,,,2048,,1622,1256,1988,3592,14,,6,
2002-04-08,5288,,3002,,,2041,,1640,1283,1986,3595,15,,6,
2002-04-09,5308,,3018,,,2038,,1638,1281,1986,3591,16,,6,
2002-04-10,5305,,3027,,,2050,,1642,1281,1993,3591,16,,6,
2002-04-11,5325,,3025,,,2051,,1623,1281,1991,3588,16,,6,
2002-04-12,5321,,3025,,,2048,,1623,1254,1995,3597,16,,6,
2002-04-13,5321,,3023,,,2048,,1623,1254,1995,3596,16,,6,
2002-04-14,5319,,3022,,,2047,,1607,1255,1995,3595,16,,6,
2002-04-15,5320,,3027,,,2055,,1587,1274,1992,3599,16,,6,
2002-04-16,5341,,3035,,,2054,,1571,1270,1992,3597,16,,6,
2002-04-17,5323,,3008,,,2064,,1612,1278,1993,3592,16,,6,
2002-04-18,5341,,3005,,,2061,,1598,1297,1985,3588,16,,6,
2002-04-19,5336,,2988,,,2057,,1610,1290,1992,3596,16,,6,
2002-04-20,5336,,2989,,,2056,,1611,1290,1992,3595,16,,6,
2002-04-21,5336,,2988,,,2054,,1611,1289,1990,3593,16,,6,
2002-04-22,5334,,2984,,,2057,,1610,1299,1986,3595,16,,6,
2002-04-23,5352,,3025,,,2052,,1592,1300,1983,3592,16,,6,
2002-04-24,5351,,3004,,,2053,,1603,1298,1994,3600,16,,6,
2002-04-25,5338,,3000,,,2074,,1579,1283,1991,3583,16,,6,
2002-04-26,5324,,2990,,,2059,,1606,1286,1987,3588,16,,6,
