county,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Wayne,,34,35,40,37,,50,,,,,,,,,,,,,,167,,223,220,245,211,210,223,,,,,199,,,148,,,
Webster,,16,16,8,13,,12,,,,,,,,,,,,,,65,,34,71,79,91,96,98,,,,,65,,,66,,,
Wilkinson,,16,16,15,18,,20,,,,,,,,,,,,,,58,,51,58,57,69,61,56,,,,,43,,,37,,,
Winston,,27,64,22,27,,36,,,,,,,,,,,,,,209,,205,200,184,159,150,156,,,,,135,,,144,,,
Yalobusha,,16,15,20,23,,25,,,,,,,,,,,,,,127,,95,100,107,102,111,114,,,,,102,,,104,,,
Yazoo,,60,64,53,83,,89,,,,,,,,,,,,,,178,,154,152,176,158,192,185,,,,,148,,,124,,,
out-of-state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
unknown,,0,0,0,0,0,0,,,,,,,,,,,,,,0,,2,146,308,163,110,,,,,,125,,,128,,,
total,,5229,5658,5759,6325,,6964,,,,,,,,,,,,,,20704,,23462,23996,24351,24331,"24,897","25,764",,,,,"25,224",,,21314,,,
page,,30,20-21,49,41,,30,,,,,,,,,,,,,,3,,20,,70-71,76-77,72-73,70-71,,,,,,,,26,,,
