"Location","Capacity","1-Dec-17","2-Dec-17","3-Dec-17","4-Dec-17","5-Dec-17","6-Dec-17","7-Dec-17","8-Dec-17","9-Dec-17","10-Dec-17","11-Dec-17","12-Dec-17","13-Dec-17","14-Dec-17","15-Dec-17","16-Dec-17","17-Dec-17"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","891","891","891","888","887","887","897","896","897","897","897","896","896","896","904","904","904"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","46","46","46","46","45","46","46","38","37","37","37","38","37","40","41","41","41"
"Madison","40","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4"
"Noxubee","34","34","34","34","34","34","34","34","24","26","26","26","24","23","22","23","23","23"
"Rankin/Flowood","8","5","5","5","5","5","6","6","5","6","6","6","5","5","5","5","5","5"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","2","2","2","2","1","1","1","5","1","1","1","5","5","9","9","9","9"
"TOTALS","24,237","19,162","19,158","19,151","19,148","19,128","19,140","19,161","19,150","19,138","19,138","19,138","19,150","19,167","19,172","19,141","19,139","19,132"
