"Location","Capacity","1-Feb-20","2-Feb-20","3-Feb-20","4-Feb-20","5-Feb-20","6-Feb-20","7-Feb-20","8-Feb-20","9-Feb-20","10-Feb-20","11-Feb-20","12-Feb-20","13-Feb-20","14-Feb-20","15-Feb-20","16-Feb-20","17-Feb-20"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","71","71","69","69","68","69","66","66","66","62","64","64","63","57","57","57","62"
"Noxubee Satellite Facility","58","41","41","41","41","41","41","37","37","37","42","42","42","42","40","40","40","42"
"Pike Satellite Facility","93","75","75","82","82","81","80","76","76","76","77","76","76","76","80","80","80","82"
"Quitman Satellite Facility","93","67","67","72","71","79","74","69","69","69","77","77","77","77","71","71","71","73"
"Rankin Satellite Facility","178","151","151","150","150","150","149","147","147","147","146","141","141","141","139","139","139","141"
"Rankin SF (RRP)","28","18","18","18","18","18","18","18","18","18","18","19","19","18","18","18","18","18"
"Flowood TVC","50","20","20","20","19","17","16","16","14","14","14","13","10","10","10","10","10","10"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","57","57","57","57","57","61","57","57","57","57","55","55","55","53","53","53","55"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,363","4,362","4,357","4,374","4,362","4,343","4,359","4,358","4,358","4,378","4,379","4,374","4,377","4,365","4,363","4,362","4,358"
"Alcorn County","300","300","300","299","299","299","299","298","298","298","298","297","297","297","297","297","297","297"
"Bolivar County","369","291","291","291","292","291","291","293","293","293","292","292","292","292","288","288","288","288"
"Carroll County","280","268","268","268","272","272","272","272","272","272","272","272","273","272","271","271","271","271"
"Chickasaw County","310","310","309","309","309","308","306","306","305","305","305","309","309","310","309","309","309","309"
"George County","342","338","338","338","338","336","334","338","338","338","337","340","339","339","336","336","336","336"
"Holmes County","280","279","279","279","280","280","278","276","276","276","272","271","271","269","275","275","275","275"
"Issaquena County","297","276","276","275","287","286","285","308","308","308","308","307","307","306","306","306","306","306"
"Jefferson County","280","281","281","280","280","276","274","273","273","273","280","279","279","279","279","278","278","278"
"Kemper County","355","353","353","352","352","350","349","348","348","348","353","352","352","351","350","350","350","350"
"Leake County","280","280","280","280","280","279","274","273","273","273","273","272","273","273","272","272","272","270"
"Marion County","280","396","396","395","395","396","396","395","395","395","399","401","401","400","398","397","397","397"
"Stone County","326","281","281","280","280","280","279","280","280","280","280","280","280","280","280","280","280","280"
"Washington County","300","133","133","133","132","132","132","132","132","132","132","131","130","139","137","137","137","137"
"Winston County","280","278","278","278","279","279","276","270","270","270","279","279","276","276","274","274","274","273"
"Yazoo County","300","299","299","300","299","298","298","297","297","297","298","297","295","294","293","293","292","291"
"PRIVATE PRISONS","6,000","3,461","3,460","3,457","3,458","3,455","3,453","3,459","3,459","3,458","3,455","3,468","3,467","3,484","3,486","3,489","3,489","3,488"
"Tallahatchie County","1,000","375","375","375","375","375","375","375","375","374","374","374","374","374","374","377","377","377"
"East Mississippi","1,500","1,223","1,223","1,220","1,221","1,221","1,218","1,216","1,216","1,216","1,214","1,227","1,225","1,244","1,246","1,246","1,246","1,245"
"Marshall County","1,000","999","998","998","998","997","999","999","999","999","998","998","997","996","996","996","996","996"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","864","864","864","864","862","861","869","869","869","869","869","871","870","870","870","870","870"
"RESTITUTION CENTERS","10","5","5","5","5","5","9","9","9","9","7","7","6","6","6","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","7","7","7","7","5","5","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","122","33","33","33","33","33","32","32","32","32","33","33","34","34","34","34","34","36"
"Madison","40","5","5","5","5","4","3","3","3","3","3","4","4","4","4","4","4","4"
"Noxubee","34","27","27","27","27","27","27","27","27","27","27","26","26","26","26","26","26","26"
"Rankin/Flowood","8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","1","1","1","1","1","2","2","3","3","3","3","3","5"
"TOTALS","24,670","19,031","19,029","19,015","19,014","19,020","18,995","18,978","18,963","18,961","18,975","18,935","18,914","18,911","18,902","18,901","18,895","18,898"
