"Location","Capacity","18-Dec-19","19-Dec-19","20-Dec-19","21-Dec-19","22-Dec-19","23-Dec-19","24-Dec-19","25-Dec-19","26-Dec-19","27-Dec-19","28-Dec-19","29-Dec-19","30-Dec-19","31-Dec-19","Avg Population"
"Rankin Satellite Facility","178","147","147","147","148","146","147","147","147","144","144","144","144","144","142","143"
"Rankin RID","28","21","21","21","22","22","22","22","22","22","22","22","21","21","21","21"
"Flowood TVC","50","21","18","22","18","17","17","17","17","17","17","17","15","21","20","20"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","49","50","50","50","50","50","50","50","50","50","50","50","50","50","49"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,235","4,228","4,232","4,229","4,229","4,269","4,264","4,264","4,267","4,294","4,294","4,291","4,293","4,300","4266"
"Alcorn County","300","298","299","299","299","299","298","298","298","298","298","298","298","294","294","298"
"Bolivar County","369","293","292","291","291","291","291","289","289","289","294","294","294","293","293","293"
"Carroll County","280","268","267","267","267","267","267","267","267","267","266","266","266","266","266","269"
"Chickasaw County","310","309","309","309","309","309","308","308","308","307","310","310","309","309","310","309"
"George County","342","332","329","329","329","329","332","330","330","337","336","336","335","341","339","335"
"Holmes County","280","276","276","275","275","275","277","277","277","278","280","280","280","279","280","276"
"Issaquena County","297","255","253","253","253","253","254","254","254","254","253","253","253","253","253","281"
"Jefferson County","280","277","277","277","277","277","280","280","280","280","280","280","280","280","280","279"
"Kemper County","355","345","345","345","345","345","352","352","352","352","352","352","352","350","350","348"
"Leake County","280","279","279","279","279","279","280","280","280","280","280","280","280","278","280","277"
"Marion County","280","328","328","337","335","335","340","339","339","336","351","351","351","362","361","313"
"Stone County","326","279","278","278","278","278","280","280","280","279","280","280","279","279","280","279"
"Washington County","300","139","139","137","137","137","137","137","137","137","137","137","137","137","137","143"
"Winston County","280","268","268","268","267","267","279","279","279","278","279","279","279","278","278","273"
"Yazoo County","300","289","289","288","288","288","294","294","294","295","298","298","298","294","299","293"
"PRIVATE PRISONS","5,472","3,167","3,161","3,158","3,156","3,155","3,146","3,147","3,145","3,135","3,134","3,133","3,133","3,127","3,131","3164"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,252","1,250","1,248","1,247","1,247","1,249","1,250","1,250","1,250","1,252","1,252","1,252","1,248","1,245","1247"
"Marshall County","1,000","996","993","993","992","992","992","992","992","992","992","991","991","990","1,000","995"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","919","918","917","917","916","905","905","903","893","890","890","890","889","886","922"
"RESTITUTION CENTERS","10","7","7","7","7","7","7","7","7","6","6","6","6","6","6","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","3","3","3","3","3","3","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","22","25","25","26","26","27","27","27","26","26","26","26","26","26","26"
"Madison","40","3","3","3","3","3","4","4","4","4","4","4","4","4","4","3"
"Noxubee","34","16","15","15","15","15","15","15","15","15","15","15","15","15","15","17"
"Rankin/Flowood","8","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","4","4","4","4","4","4","4","3","3","3","3","3","3","3"
"TOTALS","24,142","19,160","19,162","19,201","19,191","19,185","19,200","19,185","19,187","19,219","19,192","19,191","19,177","19,187","18,353","19173"
