"Location","Capacity","1-Feb-18","2-Feb-18","3-Feb-18","4-Feb-18","5-Feb-18","6-Feb-18","7-Feb-18","8-Feb-18","9-Feb-18","10-Feb-18","11-Feb-18","12-Feb-18","13-Feb-18","14-Feb-18","15-Feb-18","16-Feb-18","17-Feb-18"
"Simpson TVC","82","29","49","49","49","49","42","41","41","41","41","41","41","37","38","37","36","36"
"Simpson TVC Support","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Washington Satellite Facility","60","57","57","57","57","58","58","58","58","57","57","57","57","57","56","56","56","56"
"Wilkinson Satellite Facility","62","44","43","42","42","46","46","45","44","48","48","48","49","49","50","48","47","47"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,372","4,365","4,364","4,363","4,347","4,369","4,345","4,351","4,333","4,331","4,332","4,322","4,342","4,343","4,359","4,350","4,350"
"Alcorn County","300","293","293","293","293","294","294","292","289","288","288","288","288","288","287","293","293","293"
"Bolivar County","369","293","293","293","293","293","293","290","290","288","288","288","288","293","292","294","291","291"
"Carroll County","280","278","278","278","278","276","276","276","276","276","276","276","276","277","277","280","280","280"
"Chickasaw County","310","306","306","306","306","306","306","305","305","304","304","304","303","305","304","308","306","306"
"George County","342","339","339","339","339","337","342","340","337","338","338","338","337","341","338","336","336","336"
"Holmes County","280","280","278","278","278","278","280","280","280","280","280","280","280","280","280","279","279","279"
"Issaquena County","274","273","270","270","270","269","273","272","272","270","270","270","270","270","270","274","274","274"
"Jefferson County","280","278","277","277","277","276","280","280","280","279","278","278","276","276","278","277","277","277"
"Kemper County","355","353","353","353","353","351","349","348","350","344","344","344","343","345","347","345","345","345"
"Leake County","280","277","278","278","278","276","279","277","277","273","273","273","272","280","278","278","278","278"
"Marion County","280","280","280","280","279","279","280","278","278","278","278","279","280","279","280","280","280","280"
"Stone County","326","326","326","326","326","326","325","322","325","325","324","324","322","322","323","327","327","327"
"Washington County","300","216","215","215","215","215","214","214","214","214","214","214","214","214","214","214","214","214"
"Winston County","280","280","279","278","278","272","280","275","279","278","278","278","275","273","276","275","274","274"
"Yazoo County","300","300","300","300","300","299","298","296","299","298","298","298","298","299","299","299","296","296"
"PRIVATE PRISONS","5,972","3,202","3,204","3,203","3,203","3,201","3,195","3,196","3,196","3,193","3,204","3,204","3,199","3,212","3,208","3,203","3,209","3,209"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,280","1,286","1,285","1,285","1,285","1,284","1,280","1,281","1,281","1,281","1,281","1,276","1,291","1,289","1,286","1,286","1,286"
"Marshall County","1,000","999","996","996","996","995","992","998","998","997","997","997","997","996","995","993","1,000","1,000"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","923","922","922","922","921","919","918","917","915","926","926","926","925","924","924","923","923"
"RESTITUTION CENTERS","16","10","9","9","9","10","10","10","10","11","11","11","11","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","36","36","36","36","37","39","39","44","43","43","43","42","42","42","38","38","38"
"Madison","40","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2"
"Noxubee","34","21","21","21","21","21","21","21","26","26","26","26","26","26","26","24","24","24"
"Rankin/Flowood","8","6","6","6","6","6","8","8","8","8","8","8","8","8","8","8","8","8"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","5","5","5","5","6","6","6","6","5","5","5","4","4","4","4","4","4"
"TOTALS","24,237","18,991","18,953","18,944","18,945","18,951","18,957","18,944","18,970","18,973","18,978","18,976","19,032","19,048","19,063","19,084","19,080","19,078"
