"Location","Capacity","1-Apr-20","2-Apr-20","3-Apr-20","4-Apr-20","5-Apr-20","6-Apr-20","7-Apr-20","8-Apr-20","9-Apr-20","10-Apr-20","11-Apr-20","12-Apr-20","13-Apr-20","14-Apr-20","15-Apr-20","16-Apr-20","17-Apr-20","18-Apr-20"
"Holmes County","280","268","268","268","268","268","268","268","268","268","268","268","268","266","266","266","265","265","265"
"Issaquena County","297","310","310","309","309","309","310","310","310","309","309","309","309","309","309","308","307","307","307"
"Jefferson County","280","264","264","264","264","264","264","264","264","264","264","264","264","263","263","263","263","262","262"
"Kemper County","355","324","323","323","323","323","323","323","323","323","323","323","323","321","320","320","319","319","318"
"Leake County","280","259","259","259","259","259","259","257","257","257","257","257","257","257","257","257","255","255","255"
"Marion County","280","389","388","388","387","387","386","384","383","383","383","383","383","383","383","381","381","381","380"
"Stone County","326","276","276","276","276","275","275","274","274","273","273","273","273","273","273","273","273","273","273"
"Washington County","300","140","140","140","140","140","140","140","140","140","139","139","139","138","137","137","137","137","137"
"Winston County","280","254","253","253","253","253","253","253","253","253","250","250","250","250","246","244","243","243","243"
"Yazoo County","300","290","290","290","290","290","289","289","289","289","289","289","289","288","286","286","285","285","285"
"PRIVATE PRISONS","5,000","3,056","3,055","3,051","3,050","3,049","3,048","3,047","3,056","3,065","3,074","3,074","3,074","3,083","3,086","3,078","3,077","3,075","3,075"
"Tallahatchie County","1,000","849","849","849","849","849","849","847","837","827","817","817","817","801","796","796","796","796","796"
"East Mississippi","1,500","1,202","1,202","1,200","1,200","1,199","1,198","1,197","1,207","1,217","1,226","1,226","1,227","1,237","1,241","1,236","1,235","1,234","1,234"
"Marshall County","1,000","990","989","988","988","988","988","988","987","987","987","987","987","986","986","985","985","985","985"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","864","864","863","862","862","862","862","862","861","861","861","860","860","859","857","857","856","856"
"RESTITUTION CENTERS","10","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","2","2","0"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","0"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0"
"TRANSITIONAL HOUSING","122","28","27","27","27","27","27","27","27","27","27","27","27","27","27","26","26","26","26"
"Madison","40","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Noxubee","34","22","22","22","22","22","22","22","22","22","22","22","22","22","22","21","21","21","21"
"Rankin/Flowood","8","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","23,670","17,794","17,761","17,752","17,739","17,734","17,709","17,683","17,775","17,671","17,669","17,666","17,654","17,627","17,585","17,523","17,518","17,526","17,521"
