date,probation,compact_probation,nonadjudicated,post_release,TVC_probation,probation_total,parole,compact_parole,suspension,TVC_parole,parole_total,ISP_court,ISP_prison,ISP,earned_release_supervision,medical_release,FTR_monitoring,conditional_release,TVC,RRP,transitional_housing,community_inmate_total,total
2006-05-01,15885,1103,1893,5361,,24242,2016,487,0,,2503,1275,274,,1615,10,,,,,,3174,29919
2006-06-01,15941,1039,2149,5568,,24697,2001,458,0,,2459,1291,274,,1667,9,,,,,,3241,30397
2006-07-03,15622,1052,2176,5762,,24612,1993,446,0,,2439,1276,266,,1705,9,,,,,,3256,30307
2006-08-01,15398,1053,2217,5971,,24639,1989,463,0,,2452,1298,267,,1691,9,,,,,,3265,30356
2006-09-01,15191,1075,2316,6167,,24749,1944,452,0,,2396,1287,266,,1682,9,,,,,,3244,30389
2006-10-01,14902,1076,2361,6320,,24659,1949,456,0,,2405,1291,238,,1679,9,,,,,,3217,30281
2006-11-01,14823,1091,2381,6539,,24834,1943,454,0,,2397,1259,214,,1693,9,,,,,,3175,30406
2006-12-01,14798,1091,2439,6763,,25091,1929,446,0,,2375,1240,243,,1711,9,,,,,,3203,30669
2007-01-01,14712,1094,2478,6917,,25201,1899,443,0,,2342,1267,242,,1640,8,,,,,,3157,30700
2007-02-01,14518,1118,2551,7107,,25294,1922,433,0,,2355,1265,246,,1690,8,,,,,,3209,30858
2007-03-01,14363,1128,2598,7230,,25319,1922,432,0,,2354,1229,222,,1660,8,,,,,,3119,30792
2007-04-02,14327,1138,2684,7311,,25460,1939,436,0,,2375,1223,232,,1707,9,,,,,,3171,31006
2007-05-01,14209,1207,2667,7513,,25596,1912,499,0,,2411,1184,246,,1689,8,,,,,,3127,31134
2007-06-01,14077,1196,2653,7747,,25673,1943,484,0,,2427,933,237,,1689,8,,,,,,2867,30967
2007-07-01,13209,1195,2636,7667,,24707,1981,485,0,,2466,938,237,,1655,8,,,,,,2838,30011
2007-08-01,12737,1240,2624,7655,,24256,1936,490,0,,2426,919,238,,1652,8,,,,,,2817,29499
2007-09-01,11779,1224,2571,7580,,23154,1958,480,0,,2438,914,231,,1656,8,,,,,,2809,28401
2007-10-01,11381,1226,2601,7599,,22807,1969,483,0,,2452,910,228,,1694,13,,,,,,2845,28104
2007-11-01,11355,1218,2683,7625,,22881,1980,477,0,,2457,929,259,,1705,14,,,,,,2907,28245
2007-12-01,11304,1229,2708,7635,,22876,1985,473,0,,2458,934,259,,1700,13,,,,,,2906,28240
2008-01-01,11247,1244,2741,7635,,22867,2015,478,0,,2493,938,250,,1752,13,,,,,,2953,28313
2008-02-01,11215,1265,2766,7719,,22965,2074,479,0,,2553,943,269,,1732,12,,,,,,2956,28474
2008-03-01,10952,1262,2779,7699,,22692,2088,469,0,,2557,920,264,,1733,12,,,,,,2929,28178
2008-04-01,10767,1280,2773,7719,,22539,2125,477,0,,2602,901,252,,1730,14,,,,,,2897,28038
2008-05-01,10755,1290,2765,7723,,22533,2148,480,0,,2628,918,248,,1774,15,,,,,,2955,28116
2008-06-01,10541,1279,2808,7757,,22385,2100,480,0,,2580,923,233,,1792,21,,,,,,2969,27934
2008-07-01,10712,1296,2889,7947,,22844,2167,470,0,,2637,941,251,,1779,32,,,,,,3003,28484
2008-08-01,10368,1306,2802,7887,,22363,2233,472,0,,2705,925,252,,1788,34,,,,,,2999,28067
2008-09-01,10392,1300,2911,7997,,22600,2352,470,0,,2822,956,246,,1832,35,,,,,,3069,28491
2008-10-01,10538,1320,2967,8085,,22910,2447,488,0,,2935,992,219,,1841,34,,,,,,3086,28931
2008-11-01,10661,1305,2909,8177,,23052,2515,490,,,3005,1000,226,,1852,35,,,,,,3113,29170
2008-12-01,10799,1302,2903,8241,,23245,2597,479,0,,3076,1017,208,,1855,35,,,,,,3115,29436
2009-01-01,10975,1290,2897,8395,,23557,2922,477,0,,3399,994,184,,1805,36,,,,,,3019,29975
2009-02-01,10692,1266,3144,8476,,23578,3079,465,0,,3544,985,160,,1788,37,,,,,,2970,30092
2009-03-01,10687,1255,3200,8547,,23689,3180,454,0,,3634,954,186,,1770,35,,,,,,2945,30268
2009-04-01,10793,1260,3303,8638,,23994,3475,449,0,,3924,984,188,,1748,36,,,,,,2956,30874
2009-05-01,10770,1257,3340,8806,,24173,3738,442,0,,4180,1001,193,,1655,36,,,,,,2885,31238
2009-06-01,10808,1243,3415,8920,,24386,4102,435,0,,4537,975,180,,1608,38,,,,,,2801,31724
2009-07-01,10884,1227,3525,9057,,24693,4315,423,0,,4738,1040,216,,1599,39,,,,,,2894,32325
2009-08-01,10764,1206,3541,9153,,24664,4697,412,0,,5109,1033,245,,1524,37,,,,,,2839,32612
2009-09-01,10600,1189,3562,9251,,24602,4935,408,0,,5343,1032,264,,1483,35,,,,,,2814,32759
2009-10-01,10535,1164,3619,9294,,24612,5102,398,,,5500,1051,293,,1479,37,,,,,,2860,32972
2009-11-01,10408,1148,3659,9430,,24645,5203,392,0,,5595,1038,296,,1474,36,,,,,,2844,33084
2009-12-01,10378,1126,3689,9591,,24784,5215,377,0,,5592,1046,368,,1424,35,,,,,,2873,33249
2010-01-01,10075,1091,3736,9546,,24448,5238,373,0,,5611,1056,357,,1415,35,,,,,,2863,32922
2010-02-01,9957,1069,3753,9583,,24362,5350,370,0,,5720,1035,405,,1348,36,,,,,,2824,32906
2010-03-01,9958,1048,3774,9639,,24419,5302,361,0,,5663,1071,435,,1386,37,,,,,,2929,33011
2010-04-01,10022,1039,3836,9650,,24547,5723,358,0,,6081,1133,383,,1435,40,,,,,,2991,33619
2010-05-01,10082,1024,3857,9726,,24689,5961,347,0,,6308,1121,385,,1465,43,,,,,,3014,34011
2010-06-01,10169,1019,3914,9841,,24943,6081,345,0,,6426,1121,416,,1445,43,,,,,,3025,34394
2010-07-01,10196,1016,3953,9943,,25108,6217,336,0,,6553,1152,407,,1456,44,,,,,,3059,34720
2010-08-01,10200,1016,3971,10009,,25196,6223,335,0,,6558,1171,439,,1438,43,,,,,,3091,34845
2010-09-01,10334,1008,4060,10184,,25586,6222,330,0,,6552,1178,392,,1443,45,,,,,,3058,35196
2010-10-01,10476,995,4121,10313,,25905,6286,319,0,,6605,1146,426,,1428,44,,,,,,3044,35554
2010-11-01,10638,1012,4220,10526,,26396,6320,327,0,,6647,1162,442,,1453,44,,,,,,3101,36144
2010-12-01,10561,1031,4245,10653,,26490,6234,330,0,,6564,1154,445,,1443,44,,,,,,3086,36140
2011-01-03,10703,1027,4376,10907,,27013,6256,326,0,,6582,1194,458,,1447,43,,,,,,3142,36737
2011-02-01,10727,1031,4353,11112,,27223,6319,339,0,,6658,1181,467,,1459,42,,,,,,3149,37030
2011-03-02,10697,1040,4379,11224,,27340,6311,353,0,,6664,1181,452,,1455,39,,,,,,3127,37131
2011-04-01,10524,1043,4367,11339,,27273,6360,338,0,,6698,1183,454,,1467,39,,,,,,3143,37114
2011-05-01,10450,1043,4301,11441,,27235,6487,342,0,,6829,1181,454,,1468,37,,,,,,3140,37204
2011-06-01,10447,1059,4299,11708,,27513,6485,332,0,,6817,1158,484,,1446,37,,,,,,3125,37455
2011-07-01,10442,1050,4297,12013,,27802,6524,334,0,,6858,1118,459,,1398,36,,,,,,3011,37671
2011-08-01,10382,1048,4328,12219,,27977,6502,329,0,,6831,1112,427,,1437,34,,,,,,3010,37818
2011-09-01,10284,1024,4279,12291,,27878,6435,322,0,,6757,1112,455,,1505,30,,,,,,3102,37737
2011-10-01,10247,1028,4271,12397,,27943,6518,314,0,,6832,1149,447,,1514,32,,,,,,3142,37917
2011-11-01,10282,1025,4329,12647,,28283,6551,309,0,,6860,1205,420,,1555,25,,,,,,3205,38348
2011-12-01,10153,1054,4319,12811,,28337,6610,302,0,,6912,1200,428,,1582,25,,,,,,3235,38484
2012-01-01,10102,1070,4304,12954,,28430,6668,300,0,,6968,1215,427,,1656,23,,,,,,3321,38719
2012-02-01,10027,1082,4255,13100,,28464,6666,293,0,,6959,1193,439,,1640,22,,,,,,3294,38717
2012-03-01,9898,1119,4206,13220,,28443,6669,292,0,,6961,1150,459,,1600,24,,,,,,3233,38637
2012-04-02,9693,1117,4108,13210,,28128,6731,288,0,,7019,1137,431,,1616,23,,,,,,3207,38354
2012-05-01,9669,1132,4121,13371,,28293,6659,290,0,,6949,1122,427,,1619,22,,,,,,3190,38432
2012-06-01,9680,1130,4097,13465,,28372,6623,285,0,,6908,1134,447,,1617,25,,,,,,3223,38503
2012-07-02,9705,1107,4135,13624,,28571,6525,277,0,,6802,1137,480,,1605,22,,,,,,3244,38617
2012-08-01,9693,1017,4139,13852,,28701,6528,268,0,,6796,1104,453,,1612,22,,,,,,3191,38688
2012-10-01,9626,1124,4126,14232,,29108,6486,272,0,,6758,1125,498,,1621,25,,,,,,3269,39135
2012-11-01,9635,1132,4183,14471,,29421,6437,263,0,,6700,1142,512,,1628,25,,,,,,3307,39428
2012-12-01,9566,1133,4212,14564,,29475,6378,268,0,,6646,1129,534,,1613,25,,,,,,3301,39422
2013-01-02,9624,1134,4189,14721,,29668,6292,273,0,,6565,1148,509,,1602,28,,,,,,3287,39520
2013-02-01,9624,1134,4189,14721,,29668,6292,273,0,,6565,1148,509,,1602,28,,,,,,3287,39520
2013-03-01,9523,1125,4243,15216,,30107,6241,274,0,,6515,1096,470,,1624,27,,,,,,3217,39839
2013-04-01,9351,1125,4239,15139,,29854,6160,287,0,,6447,1105,503,,1666,27,,,,,,3301,39602
2013-05-01,9212,1283,4224,15217,,29936,6116,367,0,,6483,1102,516,,1670,26,,,,,,3314,39733
2013-06-03,9174,1299,4206,15363,,30042,6100,380,0,,6480,1084,521,,1681,25,,,,,,3311,39833
2013-07-01,9027,1301,4131,15394,,29853,6138,370,0,,6508,1075,549,,1675,24,,,,,,3323,39684
2013-08-01,8932,1313,4164,15506,,29915,6172,388,0,,6560,1065,519,,1623,24,,,,,,3231,39706
2013-09-03,8883,1348,4160,15585,,29976,6248,421,0,,6669,1066,454,,1668,23,,,,,,3211,39856
2013-10-01,8870,1364,4156,15780,,30170,6293,430,0,,6723,1092,489,,1631,23,,,,,,3235,40128
2013-11-01,8913,1381,4202,16058,,30554,6388,460,0,,6848,1079,470,,1652,23,,,,,,3224,40626
2013-12-02,8886,1362,4214,16222,,30684,6374,448,0,,6822,1076,470,,1666,24,,,,,,3236,40742
2014-01-02,8743,1371,4129,16342,,30585,6520,456,0,,6976,1072,477,,1651,22,,,,,,3222,40783
2014-02-03,8702,1433,4158,16484,,30777,6837,506,0,,7343,1043,387,,1611,23,,,,,,3064,41184
2014-03-03,8689,1439,4188,16598,,30914,7080,529,0,,7609,1055,412,,1586,23,,,,,,3076,41599
2014-04-01,8592,1407,4185,16578,,30762,7240,534,0,,7774,1065,424,,1544,22,,,,,,3055,41591
2014-05-01,8623,1384,4209,16665,,30881,7530,527,0,,8057,1093,436,,1494,24,,,,,,3047,41985
2014-06-02,8707,1393,4259,16966,,31325,7722,525,0,,8247,1094,453,,1431,24,,,,,,3002,42574
2014-07-01,8758,1398,4294,17192,,31642,8038,523,0,,8561,1090,405,,1394,25,,,,,,2914,43117
2014-08-01,8804,1397,4275,17324,,31800,7950,533,0,,8483,1096,541,,1309,25,,,,,,2971,43254
2014-09-01,8887,1336,4378,17760,103,32464,8623,533,0,175,9331,1070,428,,1286,20,,,8,,,2812,44607
2014-10-01,8887,1336,4378,17760,103,32464,8623,533,0,175,9331,1070,428,,1286,20,,,8,,,2812,44607
2014-11-03,9078,1380,4467,18061,120,33106,8939,525,0,257,9721,1041,384,,1206,20,,,2,,,2653,45480
2014-12-01,9087,1353,4484,18137,142,33203,9669,525,0,235,10429,1008,320,,1113,20,,,3,,,2464,46096
2015-01-05,9252,1338,4541,18398,158,33687,9289,532,0,285,10106,1050,282,,1071,19,,,2,,,2424,46217
2015-02-02,9398,1326,4589,18734,145,34192,9188,526,0,283,9997,1008,249,,1005,19,,,,,,2281,46470
2015-03-04,9457,1337,4649,18955,153,34551,9045,517,0,344,9906,1032,228,,973,17,,,,,,2250,46707
2015-04-01,9535,1352,4697,19194,157,34935,8890,517,0,311,9718,1032,204,,919,17,,,,,,2172,46825
2015-05-01,9621,1322,4755,19283,164,35145,8835,507,0,350,9692,1043,182,,899,17,,,,,,2141,46978
2015-06-01,9663,1302,4783,19344,149,35241,8683,497,0,352,9532,979,166,,883,17,,,,,,2045,46818
2015-07-06,9740,1289,4811,19455,151,35446,8604,493,0,391,9488,905,133,,858,16,,,,,,1912,46846
2015-08-03,9863,1286,4842,19684,142,35817,8489,488,0,414,9391,820,110,,826,16,,,,,,1772,46980
2015-09-01,9754,1279,4766,19583,145,35527,8333,486,0,442,9261,756,106,,831,15,,,,,,1708,46496
2015-10-03,9383,1302,4682,19340,163,34870,8059,500,0,439,8998,767,94,,822,14,,,,,,1697,45565
2015-11-02,9087,1277,4636,18998,170,34168,7953,506,0,375,8834,746,94,,848,14,,,,,,1702,44704
2015-12-01,8916,1264,4605,18913,171,33869,7819,516,0,206,8541,705,85,,843,13,,,,,,1646,44056
2016-01-04,8886,1251,4569,18911,118,33735,7817,523,0,113,8453,720,80,,862,11,,2,,,,1675,43863
2016-02-01,8630,1262,4423,18642,103,33060,7555,540,0,81,8176,731,79,,834,12,,2,,,,1658,42894
2016-03-01,8035,1248,4237,17965,126,31611,7278,528,0,100,7906,728,72,,855,12,,2,,,,1669,41186
2016-04-01,7487,1252,4049,17404,153,30345,6942,557,0,131,7630,711,70,,829,12,,2,,,,1624,39599
2016-05-02,6953,1256,3860,16556,131,28756,6978,557,0,144,7679,669,68,,797,14,,2,,,,1550,37985
2016-06-01,6803,1241,3839,16445,135,28463,7310,549,0,192,8051,658,68,,755,15,,2,,,,1498,38012
2016-07-08,6546,1276,3725,16062,141,27750,6579,564,0,169,7312,665,59,,722,14,,2,,,,1462,36524
2016-08-01,6371,1273,3695,15895,153,27387,6486,568,0,181,7235,654,46,,707,14,,2,,,,1423,36045
2016-09-01,6123,1247,3624,15545,137,26676,6779,569,0,165,7513,663,30,,663,12,,2,,,,1370,35559
2016-10-03,6042,1243,3610,15426,130,26451,6880,578,0,129,7587,699,25,,637,12,,2,,,,1375,35413
2016-11-01,5913,1248,3549,15137,143,25990,7122,571,0,126,7819,713,24,,600,13,,2,,,,1352,35161
2016-12-01,5876,1228,3575,15159,134,25972,7265,564,0,78,7907,721,24,,569,13,,2,,,,1329,35208
2017-01-03,5815,1241,3550,15029,147,25782,7224,563,0,81,7868,719,23,,574,11,2,2,,43,1,1375,35025
2017-02-01,5775,1242,3547,15108,131,25803,7232,560,0,59,7851,711,21,,551,11,3,2,,52,1,1352,35006
2017-03-01,5554,1218,3475,14691,151,25089,7187,563,0,78,7828,700,21,,555,11,4,2,,61,1,1355,34272
2017-04-03,5543,1232,3428,14624,154,24981,7322,572,0,104,7998,709,18,,565,10,5,2,,76,1,1386,34365
2017-05-01,5457,1237,3356,14404,170,24624,7525,575,0,113,8213,741,18,,601,10,6,3,,85,23,1487,34324
2017-06-01,5508,1238,3412,14533,143,24834,7742,577,0,102,8421,722,27,,626,11,6,3,,92,4,1491,34746
2017-07-05,5395,1230,3326,14221,132,24304,7853,571,0,113,8537,722,37,,674,12,6,3,,105,2,1561,34402
2017-08-01,5403,1256,3352,14147,117,24275,7856,582,0,108,8546,712,31,,666,12,6,3,,,0,1430,34251
2017-09-01,5458,1291,3387,14180,118,24434,7813,596,0,145,8554,682,33,,641,12,6,3,,,,1377,34365
2017-10-10,5484,1348,3424,14158,91,24505,7989,641,0,170,8800,681,32,,625,12,6,3,,,,1359,34664
2017-11-02,5505,1349,3424,14124,87,24489,8127,626,0,166,8919,662,31,,611,12,6,0,,,,1322,34730
2017-12-04,5522,1355,3430,14041,92,24440,8193,633,0,145,8971,680,32,,607,13,5,0,,,,1337,34748
2018-01-02,5516,1346,3395,13966,79,24302,8271,624,0,149,9044,687,35,,598,12,5,3,,,,1340,34686
2018-02-01,5402,1344,3333,13752,70,23901,8178,601,0,116,8895,657,43,,578,12,5,4,,,,1299,34095
2018-03-01,5442,1363,3369,13746,77,23997,8104,622,0,126,8852,703,40,,565,13,5,3,,,,1329,34178
2018-04-02,5464,1362,3314,13695,81,23916,8010,612,0,158,8780,689,36,,601,15,5,3,,,,1349,34045
2018-05-01,5444,1344,3271,13640,93,23792,8049,602,0,192,8843,690,37,,599,14,5,3,,,,1348,33983
2018-06-01,5443,1338,3287,13641,109,23818,8132,593,0,220,8945,672,33,,614,15,5,3,,,,1342,34105
2018-07-02,5418,1360,3324,13599,100,23801,8065,602,0,240,8907,711,33,,605,14,5,3,,,,1371,34079
2018-08-01,5354,1380,3272,13470,102,23578,8187,601,0,257,9045,708,36,,571,16,6,3,,,,1340,33963
2018-09-04,5262,1375,3235,13294,131,23297,8114,606,0,288,9008,710,39,,588,15,6,3,,,,1361,33666
2018-10-01,5253,1387,3248,13269,133,23290,8141,622,0,325,9088,732,46,,583,14,6,3,,,,1384,33762
2018-11-01,5259,1362,3258,13142,122,23143,8128,602,0,357,9087,717,37,,583,14,6,3,,,,1360,33590
2018-12-01,5242,1368,3260,13205,135,23210,8239,596,0,295,9130,717,37,,583,14,6,3,,,,1360,33700
2019-01-02,5351,1351,3317,13265,116,23400,8240,594,0,328,9162,725,46,,580,16,6,3,,,,1376,33938
2019-02-01,5387,1355,3355,13372,115,23584,8279,578,0,307,9164,719,50,,566,15,6,3,,,,1359,34107
2019-03-01,5413,1387,3399,13462,113,23774,8263,590,0,306,9159,730,51,,567,15,6,3,,,,1372,34305
2019-04-01,5401,1390,3431,13468,139,23829,8204,574,0,315,9093,747,48,,581,15,6,3,,,,1400,34322
2019-05-01,5527,1366,3454,13477,147,23971,8256,578,0,258,9092,774,44,,580,15,6,3,,,,1422,34485
2019-06-03,5515,1348,3484,13541,141,24029,8261,566,0,293,9120,778,45,,575,13,6,2,,,,1419,34568
2019-07-01,5612,1334,3561,13744,141,24392,8350,552,0,281,9183,782,44,,579,14,6,2,,,,1427,35002
2019-08-01,5634,1321,3582,13864,141,24542,8439,1321,0,289,10049,769,53,,588,15,6,2,,,,1433,36024
2019-09-03,5691,1285,3560,13921,131,24588,8644,523,0,263,9430,754,50,,569,14,6,2,,,,1395,35413
2019-10-01,5706,1304,3552,13989,112,24663,8582,1304,0,244,10130,778,48,,563,14,6,2,,,,1411,36204
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,
