date,armed_robbery_mandatory,lifers,habitual_offenders,habitual_lifers,death_row
2017-07-05,2157,1805,2057,364,48
2017-08-01,2154,1797,2067,363,48
2017-09-01,2155,1801,2088,362,48
2017-10-10,2145,1789,2105,368,48
2017-11-02,2144,1784,2124,369,47
2017-12-04,2134,1785,2130,370,47
2018-01-02,2124,1777,2138,369,45
2018-02-01,2121,1770,2135,368,44
2018-03-01,2134,1768,2144,368,44
2018-04-02,2136,1757,2140,367,44
2018-05-01,2119,1756,2148,369,44
2018-06-01,2116,1752,2152,371,44
2018-07-02,2124,1748,2160,366,43
2018-08-01,2114,1749,2168,367,43
2018-09-04,2105,1755,2178,366,43
2018-10-01,2100,1751,2195,368,43
2018-11-01,2113,1751,2220,366,43
2018-12-01,2111,1748,2208,368,43
2019-01-02,2110,1744,2217,368,43
2019-02-01,2110,1744,2214,371,43
2019-03-01,2114,1746,2235,372,43
2019-04-01,2116,1738,2250,373,43
2019-05-01,2109,1738,2261,373,43
2019-06-03,2106,1739,2261,374,43
2019-07-01,2110,1745,2282,374,43
2019-08-01,2101,1741,2282,374,41
2019-09-03,2106,1742,2286,374,41
2019-10-01,2105,1735,2306,375,40
2019-11-01,2102,1726,2333,385,40
2019-12-02,2091,1718,2341,390,40
2020-01-03,2079,1722,2349,391,40
2020-02-03,2072,1714,2353,389,40
2020-03-02,2072,1709,2372,388,41
2020-04-01,2073,1712,2366,389,41
2020-05-01,2062,1709,2337,388,41
2020-06-01,2055,1706,2317,388,41
2020-07-01,2049,1708,2304,389,41
2020-08-03,2040,1703,2290,390,41
