date,inmate total,parole,TVC parole,probation,TVC probation
2009-02-01,26053,3544,,23578,
2009-03-01,26081,3634,,23689,
2009-04-01,25962,3924,,23994,
2009-05-01,25808,4180,,24173,
2009-06-01,25437,4537,,24386,
2009-07-01,25349,4738,,24693,
2009-08-01,24984,5109,,24664,
2009-09-01,24784,5343,,24602,
2009-10-01,24857,5500,,24612,
2009-11-01,24765,5595,,24645,
2009-12-01,24773,5592,,24784,
2010-01-01,24793,5611,,24448,
2010-02-01,24532,5720,,24362,
2010-03-01,24645,5663,,24419,
2010-04-01,24646,6081,,24547,
2010-05-01,24564,6308,,24689,
2010-06-01,24409,6426,,24943,
2010-07-01,24420,6553,,25108,
2010-08-01,24527,6558,,25196,
2010-09-01,24599,6552,,25586,
2010-10-01,24549,6605,,25905,
2010-11-01,24577,6647,,26396,
2010-12-01,24613,6564,,26490,
2011-01-03,24718,6582,,27013,
2011-02-01,24468,6658,,27223,
2011-03-02,24613,6664,,27340,
2011-04-01,24622,6698,,27273,
2011-05-01,24668,6829,,27235,
2011-06-01,24646,6817,,27513,
2011-07-01,24816,6858,,27802,
2011-08-01,24869,6831,,27977,
2011-09-01,24984,6757,,27878,
2011-10-01,25084,6832,,27943,
2011-11-01,25234,6860,,28283,
2011-12-01,25225,6912,,28337,
2012-01-01,25258,6968,,28430,
2012-02-01,25187,6959,,28464,
2012-03-01,25334,6961,,28443,
2012-04-02,25399,7019,,28128,
2012-05-01,25572,6949,,28293,
2012-06-01,25533,6908,,28372,
2012-07-02,25771,6802,,28571,
2012-08-01,25649,6796,,28791,
2012-10-01,25942,6758,,29108,
2012-11-01,26047,6700,,29421,
2012-12-01,26079,6646,,29475,
2013-01-02,26135,6565,,29668,
2013-02-01,25888,6604,,29978,
2013-03-01,26021,6515,,30107,
2013-04-01,26355,6447,,29854,
2013-05-01,26467,6483,,29936,
2013-06-03,26379,6480,,30042,
2013-07-01,26480,6508,,29853,
2013-08-01,26274,6562,,29921,
2013-09-03,26252,6669,,29976,
2013-10-01,26228,6723,,30170,
2013-11-01,26082,6848,,30554,
2013-12-02,25980,6822,,30684,
2014-01-02,25760,6976,,30585,
2014-02-03,25353,7343,,30777,
2014-03-03,25114,7609,,30914,
2014-04-01,25088,7774,,30762,
2014-05-01,24734,8057,,30881,
2014-06-02,24475,8247,,31325,
2014-07-01,24155,8561,,31642,
2014-08-01,24125,8483,,31800,
2014-09-01,23119,9156,175,32463,103
2014-10-01,23119,9156,175,32463,103
2014-11-03,22586,9464,257,32986,120
2014-12-01,22172,9669,235,33061,142
2015-01-05,21835,9821,285,33529,158
2015-02-02,21419,9714,283,34047,145
2015-03-04,21394,9562,344,34398,153
2015-04-01,21333,9407,311,34778,157
2015-05-01,21274,9344,350,34981,164
2015-06-01,21134,9180,352,35092,149
2015-07-06,20951,9097,391,35295,151
2015-08-03,20647,8977,414,35675,142
2015-09-01,20565,8819,442,35382,145
2015-10-03,20689,8559,439,34707,163
2015-11-02,20773,8459,375,33998,170
2015-12-01,20908,8335,206,33698,171
2016-01-04,20858,8340,113,33617,118
2016-02-01,20972,8095,81,32957,103
2016-03-01,21193,7806,100,31485,126
2016-04-01,21258,7499,131,30192,153
2016-05-02,21224,7535,144,28625,131
2016-06-01,21292,7310,192,28328,135
2016-07-08,21521,7143,169,27609,141
2016-08-01,21430,7054,181,27234,153
2016-09-01,21173,7348,165,26539,137
2016-10-03,21128,7458,129,26321,130
2016-11-01,20865,7693,126,25847,143
2016-12-01,20658,7829,78,25838,134
2017-01-03,20753,7787,81,25635,147
2017-02-01,20674,7792,59,25672,131
2017-03-01,20824,7750,78,24938,151
2017-04-03,20899,7894,104,24827,154
2017-05-01,20771,8100,113,24454,170
2017-06-01,20605,8319,102,24691,143
2017-07-05,20638,8424,113,24172,132
2017-08-01,20617,8438,108,24158,117
2017-09-01,20652,8409,145,24316,118
2017-10-10,20862,8630,170,24414,91
2017-11-02,20825,8753,166,24402,87
2017-12-04,20873,8826,145,24348,92
2018-01-02,20800,8895,149,24223,79
2018-02-01,20738,8779,116,23831,70
2018-03-01,20876,8726,126,23920,77
2018-04-02,20938,8622,158,23835,81
2018-05-01,21049,8651,192,23699,93
2018-06-01,21098,8725,220,23709,109
2018-07-02,21231,8667,240,23701,100
2018-08-01,20962,8788,257,23476,102
2018-09-04,21078,8720,288,23166,131
2018-10-01,21080,8763,325,23157,133
2018-11-01,21174,8730,357,23021,122
2018-12-01,21082,8835,295,23075,135
2019-01-02,21015,8834,328,23284,116
2019-02-01,20893,8857,307,23469,115
2019-03-01,21044,8853,306,23661,113
2019-04-01,21183,8778,315,23690,139
2019-05-01,21314,8834,258,23824,147
2019-06-03,21243,8827,293,23888,141
2019-07-01,21172,8902,281,24251,141
2019-08-01,21018,8981,289,24401,141
2019-09-03,21009,9167,263,24457,131
2019-10-01,21058,9122,244,24551,112
2019-11-01,,,,,
2019-12-02,,,,,
2020-01-03,,,,,
2020-02-03,,,,,
2020-03-02,,,,,
2020-04-01,,,,,
2020-05-01,,,,,
2020-06-01,,,,,
