"Location","Capacity 1-Jan-19","","2-Jan-19","3-Jan-19","4-Jan-19","5-Jan-19","6-Jan-19","7-Jan-19","8-Jan-19","9-Jan-19","10-Jan-19","11-Jan-19","12-Jan-19","13-Jan-19","14-Jan-19","15-Jan-19","16-Jan-19","17-Jan-19"
"Quitman Satellite Facility","93","57","57","57","56","56","56","56","56","56","56","56","56","56","56","56","56","56"
"Rankin Satellite Facility","178","151","151","149","153","153","153","153","153","150","149","149","149","149","148","148","147","146"
"Rankin RID","28","18","18","18","19","19","19","19","19","19","19","19","19","19","19","19","19","19"
"Flowood TVC","50","19","19","19","19","19","17","17","17","17","16","16","16","16","11","11","9","9"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","49","49","52","52","52","52","51","51","51","51","50","50","50","49","49","49","49"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,756","3,752","3,760","3,753","3,752","3,750","3,738","3,732","3,724","3,724","3,721","3,721","3,720","3,708","3,706","3,704","3,696"
"Alcorn County","300","239","239","238","239","239","239","239","239","239","239","239","239","239","239","239","238","239"
"Bolivar County","369","291","291","291","291","290","290","289","288","287","287","286","286","286","286","285","285","282"
"Carroll County","280","269","269","270","268","268","267","267","267","265","265","265","265","265","263","262","261","260"
"Chickasaw County","310","240","240","240","240","240","240","239","239","238","238","238","238","238","238","238","238","238"
"George County","342","199","198","198","197","197","197","195","194","194","194","194","194","194","194","194","194","193"
"Holmes County","280","200","200","200","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"Issaquena County","274","268","268","267","267","267","267","264","264","263","264","264","264","264","264","264","264","264"
"Jefferson County","280","277","277","279","278","278","277","277","277","277","277","277","277","277","277","277","277","276"
"Kemper County","355","260","258","258","258","258","258","258","256","254","254","254","254","254","253","253","253","252"
"Leake County","280","268","266","269","267","267","267","266","266","266","266","266","266","266","263","263","263","263"
"Marion County","280","267","270","267","266","266","266","264","264","263","263","262","262","262","262","262","262","262"
"Stone County","326","280","278","277","277","277","277","277","277","277","277","277","277","277","276","276","276","276"
"Washington County","300","173","173","178","178","178","178","177","177","177","177","177","177","177","174","174","174","173"
"Winston County","280","269","269","269","270","270","270","269","268","268","267","266","266","265","264","264","264","264"
"Yazoo County","300","256","256","259","258","258","258","258","257","257","257","257","257","257","256","256","256","255"
"PRIVATE PRISONS","5,472","3,192","3,191","3,193","3,192","3,190","3,189","3,184","3,181","3,179","3,175","3,170","3,170","3,170","3,167","3,165","3,164","3,157"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,272","1,272","1,268","1,268","1,267","1,267","1,266","1,264","1,263","1,263","1,262","1,262","1,262","1,260","1,258","1,257","1,253"
"Marshall County","1,000","999","999","999","999","998","998","995","994","993","992","991","991","991","990","990","990","989"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","921","920","926","925","925","924","923","923","923","920","917","917","917","917","917","917","915"
"RESTITUTION CENTERS","10","9","9","9","9","9","9","8","7","14","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","23","23","23","24","24","24","23","24","15","16","15","15","15","15","15","15","15"
"Madison","40","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Noxubee","34","17","17","17","17","17","17","16","17","8","9","8","8","8","8","8","8","8"
"Rankin/Flowood","8","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,226","19,366","19,360","19,334","19,326","19,318","19,304","19,252","19,254","19,240","19,227","19,223","19,221","19,211","19,197","19,204","19,255","19,212"
