"Location","","Capacity 1-May-19","2-May-19","3-May-19","4-May-19","5-May-19","6-May-19","7-May-19","8-May-19","9-May-19","10-May-19","11-May-19","12-May-19","13-May-19","14-May-19","15-May-19","16-May-19","17-May-19"
"Jefferson County","280","274","275","274","273","273","273","273","280","280","280","280","279","279","280","280","280","280"
"Kemper County","355","352","352","352","352","350","350","348","344","339","337","337","337","337","341","348","348","348"
"Leake County","280","275","280","280","280","280","280","277","279","279","279","278","278","277","278","280","280","278"
"Marion County","280","276","280","278","278","278","278","278","278","278","278","278","278","278","280","280","279","278"
"Stone County","326","280","279","279","279","277","277","277","280","280","280","280","280","280","280","280","279","279"
"Washington County","300","150","150","150","150","163","163","163","169","168","168","168","168","168","168","168","174","171"
"Winston County","280","277","279","277","277","277","277","276","277","276","275","275","275","275","280","279","280","279"
"Yazoo County","300","300","302","302","302","300","300","299","300","300","300","300","300","300","300","300","300","300"
"PRIVATE PRISONS","5,472","3,203","3,202","3,210","3,210","3,207","3,212","3,206","3,208","3,196","3,196","3,196","3,196","3,193","3,208","3,208","3,204","3,202"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,278","1,280","1,282","1,282","1,281","1,282","1,282","1,285","1,272","1,271","1,271","1,271","1,272","1,278","1,275","1,274","1,274"
"Marshall County","1,000","997","995","995","995","995","1,000","1,000","998","998","1,000","1,000","1,000","998","997","1,000","998","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","928","927","933","933","931","930","924","925","926","925","925","925","923","933","933","932","931"
"RESTITUTION CENTERS","10","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2"
"TRANSITIONAL HOUSING","122","27","27","27","27","27","27","26","26","25","0","25","25","25","25","25","25","25"
"Madison","40","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5"
"Noxubee","34","17","17","17","17","17","17","18","18","17","17","17","17","17","17","17","17","17"
"Rankin/Flowood","8","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,179","19,670","19,660","19,662","19,655","19,650","19,644","19,633","19,623","19,630","19,620","19,636","19,636","19,631","19,673","19,669","19,662","19,653"
