"Location","Capacity","18-Apr-18","19-Apr-18","20-Apr-18","21-Apr-18","22-Apr-18","23-Apr-18","24-Apr-18","25-Apr-18","26-Apr-18","27-Apr-18","28-Apr-18","29-Apr-18","30-Apr-18","Avg Population"
"Jefferson County","280","251","260","260","260","260","260","260","269","269","268","268","267","267","268"
"Kemper County","355","256","255","250","250","250","250","250","260","258","260","260","260","260","293"
"Leake County","280","252","251","247","247","247","246","246","246","246","243","242","242","242","258"
"Marion County","280","250","250","250","250","250","250","250","260","260","270","270","270","269","262"
"Stone County","326","264","250","250","250","250","250","250","250","249","249","249","249","249","278"
"Washington County","300","190","189","189","189","189","189","189","189","189","189","189","189","189","193"
"Winston County","280","252","250","247","247","247","245","243","256","254","253","253","253","253","256"
"Yazoo County","300","247","249","249","249","249","249","249","248","247","247","247","247","245","267"
"PRIVATE PRISONS","5,972","3,205","3,182","3,209","3,209","3,209","3,220","3,227","3,222","3,222","3,221","3,219","3,219","3,216","3,188"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,281","1,279","1,278","1,278","1,278","1,290","1,299","1,298","1,299","1,294","1,293","1,293","1,292","1267"
"Marshall County","1,000","999","978","998","998","998","998","996","995","994","1,000","1,000","1,000","999","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","925","925","933","933","933","932","932","929","929","927","926","926","925","923"
"RESTITUTION CENTERS","16","6","6","6","6","6","6","6","6","6","6","6","6","6","7"
"Greenwood (closed)","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","26","26","26","26","26","26","25","25","25","25","25","25","25","36"
"Madison","40","4","4","4","4","4","4","4","4","4","4","4","4","4","6"
"Noxubee","34","11","11","11","11","11","11","11","11","11","11","11","11","11","18"
"Rankin/Flowood","8","11","11","11","11","11","11","10","10","10","10","10","10","10","11"
"Washington (closed)","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson (closed)","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,627","19,279","19,265","19,291","19,300","19,294","19,328","19,293","19,315","19,344","19,336","19,329","19,327","19,317","19,244"
