"Location","Capacity","18-Jan-19","19-Jan-19","20-Jan-19","21-Jan-19","22-Jan-19","23-Jan-19","24-Jan-19","25-Jan-19","26-Jan-19","27-Jan-19","28-Jan-19","29-Jan-19","30-Jan-19","31-Jan-19","Avg Population"
"Noxubee Satellite Facility","58","45","45","45","45","53","52","52","48","48","48","47","51","51","59","51"
"Pike Satellite Facility","93","65","65","65","65","67","67","68","78","78","78","79","58","79","81","71"
"Quitman Satellite Facility","93","56","56","56","56","55","54","53","53","53","53","56","56","58","58","56"
"Rankin Satellite Facility","178","136","136","136","145","143","142","141","143","143","143","149","150","150","153","147"
"Rankin RID","28","19","19","19","19","19","19","19","19","19","19","19","19","19","16","19"
"Flowood TVC","50","9","9","9","8","17","17","17","17","17","17","16","14","13","12","15"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","47","47","47","47","49","49","53","53","53","53","53","52","52","51","50"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,694","3,694","3,693","3,693","3,726","3,749","3,779","3,797","3,796","3,796","3,789","3,780","3,832","3,854","3741"
"Alcorn County","300","239","239","239","239","240","240","245","245","245","245","245","245","244","254","240"
"Bolivar County","369","282","282","282","282","288","288","291","291","291","291","289","287","287","287","287"
"Carroll County","280","260","260","260","260","260","262","272","278","278","278","275","275","275","271","267"
"Chickasaw County","310","238","238","238","238","236","236","239","243","243","243","240","240","240","249","239"
"George County","342","193","193","193","193","192","207","208","225","225","225","235","233","259","285","203"
"Holmes County","280","199","199","198","198","197","196","204","203","203","203","203","202","202","204","200"
"Issaquena County","274","264","264","264","264","265","264","264","264","264","264","264","263","283","263","265"
"Jefferson County","280","276","276","276","276","276","276","278","276","276","276","278","279","279","278","277"
"Kemper County","355","252","252","252","252","276","276","275","271","271","271","269","269","269","267","260"
"Leake County","280","262","262","262","262","260","254","254","254","254","254","251","251","252","252","262"
"Marion County","280","262","262","262","262","260","277","277","277","277","277","277","277","280","280","267"
"Stone County","326","276","276","276","276","276","277","277","277","277","277","275","275","275","279","277"
"Washington County","300","173","173","173","173","171","171","171","169","169","169","168","168","167","165","174"
"Winston County","280","263","263","263","263","275","272","272","270","270","270","267","264","263","262","267"
"Yazoo County","300","255","255","255","255","254","253","252","254","253","253","253","252","257","258","256"
"PRIVATE PRISONS","5,472","3,155","3,155","3,155","3,152","3,158","3,158","3,149","3,144","3,144","3,144","3,139","3,128","3,139","3,139","3165"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,251","1,251","1,251","1,251","1,229","1,226","1,218","1,213","1,213","1,213","1,210","1,206","1,204","1,204","1247"
"Marshall County","1,000","989","989","989","988","998","998","997","995","995","995","995","989","999","999","994"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","915","915","915","913","931","934","934","936","936","936","934","933","936","936","924"
"RESTITUTION CENTERS","10","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","15","15","15","15","14","14","14","17","17","17","17","17","16","18","18"
"Madison","40","2","2","2","2","3","3","3","3","3","3","3","3","2","1","2"
"Noxubee","34","8","8","8","8","6","6","6","10","10","10","10","10","10","13","11"
"Rankin/Flowood","8","5","5","5","5","5","5","5","4","4","4","4","4","4","4","5"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,226","19,173","19,168","19,165","19,181","19,175","19,154","19,248","19,237","19,268","19,268","19,235","19,149","19,243","19,260","19239"
