"Location","Capacity","1-Aug-19","","2-Aug-19","3-Aug-19","4-Aug-19","5-Aug-19","6-Aug-19","7-Aug-19","8-Aug-19","9-Aug-19","10-Aug-19","11-Aug-19","12-Aug-19","13-Aug-19","14-Aug-19","15-Aug-19","16-Aug-19","17-Aug-19"
"Alcorn County","300","300","300","300","300","299","299","299","299","299","299","299","299","299","299","299","299","291"
"Bolivar County","369","293","292","292","292","291","291","290","287","287","287","287","287","293","292","293","292","294"
"Carroll County","280","274","274","274","273","273","273","276","276","276","276","276","275","276","276","275","274","278"
"Chickasaw County","310","308","308","308","308","308","308","308","307","307","307","307","307","310","310","310","309","310"
"George County","342","326","331","331","331","331","330","330","330","330","330","330","329","329","329","329","321","323"
"Holmes County","280","280","279","278","278","277","277","277","277","275","275","275","275","279","279","279","278","274"
"Issaquena County","297","313","322","322","322","322","321","318","317","317","317","315","314","313","312","312","312","312"
"Jefferson County","280","278","280","280","280","280","280","280","279","279","279","279","277","277","276","276","278","280"
"Kemper County","355","351","351","351","351","351","349","347","344","347","347","347","347","346","341","340","350","349"
"Leake County","280","275","273","273","273","273","273","272","270","280","280","280","277","276","275","274","274","280"
"Marion County","280","280","280","280","280","279","279","280","280","280","280","280","280","280","280","280","280","279"
"Stone County","326","280","280","280","280","280","280","280","279","279","279","279","278","277","277","280","278","279"
"Washington County","300","168","167","167","167","167","167","167","166","165","165","165","165","168","167","166","165","160"
"Winston County","280","278","279","279","279","278","278","277","278","277","277","276","276","275","269","271","274","279"
"Yazoo County","300","300","299","299","299","299","299","296","298","297","297","297","297","298","297","297","296","300"
"PRIVATE PRISONS","5,472","3,181","3,176","3,176","3,176","3,179","3,179","3,177","3,183","3,187","3,186","3,186","3,181","3,180","3,184","3,180","3,179","3,168"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,251","1,246","1,246","1,246","1,248","1,248","1,245","1,251","1,257","1,256","1,256","1,253","1,253","1,255","1,253","1,245","1,247"
"Marshall County","1,000","998","998","998","998","998","998","998","998","997","997","997","996","995","994","993","1,000","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","932","932","932","932","933","933","934","934","933","933","933","932","932","935","934","934","922"
"RESTITUTION CENTERS","10","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","22","22","22","21","28","33","33","30","30","0","30","30","36","37","41","43","32"
"Madison","40","3","3","3","3","4","4","4","4","4","4","4","4","4","5","4","6","1"
"Noxubee","34","14","14","14","14","20","26","26","23","23","23","23","23","29","29","32","32","28"
"Rankin/Flowood","8","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","3","3","3","2","2","2","2","2","2","2","2","2","2","2","4","4","1"
"TOTALS","24,179","19,358","19,759","19,390","19,381","19,398","19,499","19,392","19,374","19,366","19,327","19,339","19,360","19,344","19,345","19,373","19,374","19,443"
