"Location","Capacity","18-Jul-18","19-Jul-18","20-Jul-18","21-Jul-18","22-Jul-18","23-Jul-18","24-Jul-18","25-Jul-18","26-Jul-18","27-Jul-18","28-Jul-18","29-Jul-18","30-Jul-18","31-Jul-18","Avg Population"
"Wilkinson Satellite Facility","62","48","49","49","49","49","49","47","47","47","47","47","47","49","49","50"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,654","3,651","3,670","3,666","3,666","3,662","3,654","3,646","3,648","3,677","3,676","3,676","3,671","3,679","3,677"
"Alcorn County","300","235","234","230","230","230","234","234","234","233","232","232","232","232","239","236"
"Bolivar County","369","294","290","290","290","290","293","293","292","291","289","288","288","288","293","292"
"Carroll County","280","267","267","268","268","268","265","266","266","268","268","268","268","268","269","268"
"Chickasaw County","310","247","247","246","245","245","245","244","242","241","241","241","241","241","245","247"
"George County","342","198","198","200","199","199","197","196","195","194","200","200","200","200","199","198"
"Holmes County","280","198","196","196","196","196","199","199","199","202","202","202","202","202","202","199"
"Issaquena County","274","264","269","268","267","267","268","267","265","265","265","265","265","265","264","266"
"Jefferson County","280","266","265","265","265","265","265","264","264","263","270","270","270","270","269","267"
"Kemper County","355","250","251","259","259","259","258","258","258","257","260","260","260","259","259","257"
"Leake County","280","263","262","269","268","268","267","266","267","266","269","269","269","268","264","267"
"Marion County","280","268","268","270","270","270","269","269","269","268","270","270","270","270","270","270"
"Stone County","326","202","202","201","201","201","200","199","199","199","204","204","204","203","204","202"
"Washington County","300","199","199","199","199","199","197","196","196","203","201","201","201","200","200","201"
"Winston County","280","266","266","269","269","269","266","264","262","261","266","266","266","265","262","268"
"Yazoo County","300","237","237","240","240","240","239","239","238","237","240","240","240","240","240","239"
"PRIVATE PRISONS","5,472","3,225","3,222","3,218","3,216","3,216","3,210","3,206","3,207","3,217","3,233","3,231","3,231","3,237","3,231","3,216"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,286","1,284","1,283","1,282","1,282","1,278","1,275","1,273","1,282","1,295","1,294","1,294","1,299","1,300","1285"
"Marshall County","1,000","998","998","996","996","996","994","994","999","999","999","998","998","997","990","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","941","940","939","938","938","938","937","935","936","939","939","939","941","941","934"
"RESTITUTION CENTERS","10","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","3","3","3","3","3","3","3","3","3","3","3","3","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","36","35","33","33","33","34","34","34","37","37","37","37","36","36","36"
"Madison","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Noxubee","34","29","28","26","26","26","27","27","27","30","30","30","30","30","30","28"
"Rankin/Flowood","8","6","6","6","6","6","6","6","6","6","6","6","6","5","5","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,247","19,439","19,439","19,465","19,458","19,453","19,390","19,380","19,366","19,360","19,348","19,337","19,332","19,343","19,325","19,427"
