"Location","Capacity 1-Oct-04 2-Oct-04 3-Oct-04 4-Oct-04 5-Oct-04 6-Oct-04 7-Oct-04 8-Oct-04 9-Oct-04 10-Oct-04 11-Oct-04 12-Oct-04 13-Oct-04 14-Oct-04 15-Oct-04 16-Oct-04 17-Oct-04 18-Oct-04","","","","","","","","","","","","","","","","","",""
"Rankin Satellite Facility","228","218","217","217","220","221","221","221","219","217","217","218","221","221","219","214","214","214","219"
"Simpson Satellite Facility","102","100","100","100","100","99","99","99","100","100","100","99","99","100","100","95","95","95","100"
"Washington Satellite Facility","102","93","93","93","94","94","94","93","92","92","90","92","92","92","92","90","87","87","88"
"Wilkinson Satellite Facility","102","84","83","84","87","87","87","87","96","96","96","96","95","93","93","92","92","92","93"
"Yazoo Satellite Facility","102","98","97","98","98","98","93","99","96","96","96","100","102","102","101","100","100","100","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,732","2,730","2,728","2,737","2,746","2,739","2,741","2,738","2,738","2,737","2,739","2,741","2,742","2,745","2,748","2,748","2,747","2,747"
"Bolivar County","250","247","247","247","248","248","248","248","248","248","248","248","249","249","250","250","250","250","250"
"Carroll County","250","248","248","248","250","250","249","250","249","249","249","249","249","250","250","250","250","250","249"
"George County","250","250","250","250","250","250","246","246","249","249","249","249","249","248","249","250","250","250","250"
"Holmes County","250","249","249","249","250","249","249","250","250","250","250","250","250","250","249","249","249","249","250"
"Issaquena County","250","243","242","242","244","249","248","248","245","245","244","248","248","248","250","250","250","250","250"
"Jefferson County","250","249","249","249","250","250","250","250","249","249","249","250","250","250","250","250","250","250","250"
"Kemper County","250","250","250","250","250","250","249","249","250","250","250","249","249","250","250","250","250","250","250"
"Leake County","250","249","248","248","249","250","250","250","250","250","250","249","250","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","250","250","250","250","250","250","249","248","250","249","249","249","249","250"
"Stone County","250","248","248","248","249","250","250","250","249","249","249","249","250","249","250","250","250","250","250"
"Winston County","250","249","249","247","247","250","250","250","249","249","249","249","249","248","248","250","250","249","248"
"PRIVATE PRISONS","5,088","4,616","4,614","4,614","4,619","4,618","4,620","4,603","4,627","4,626","4,623","4,625","4,631","4,626","4,620","4,621","4,622","4,621","4,631"
"Delta","960","957","956","956","957","960","959","959","958","957","956","958","958","959","958","959","959","959","961"
"East MS","1,000","870","870","870","870","869","869","869","875","875","875","874","873","872","870","868","868","868","865"
"Marshall County","1,000","994","993","993","993","991","994","994","994","995","995","995","995","993","993","991","992","991","996"
"Tallahatchie County","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","804","804","804","804","804","807","798","808","808","808","809","810","810","807","808","808","808","814"
"Wilkinson County","1,000","991","991","991","995","994","991","983","992","991","989","989","995","992","992","995","995","995","995"
"RESITITUTION CENTERS","18","10","11","11","12","12","12","12","10","10","10","12","12","12","12","10","10","10","14"
"Greenwood","6","5","5","5","5","5","5","5","3","3","3","5","5","5","5","3","3","3","5"
"Hinds","6","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","6"
"Pascagoula","6","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","35","34","32","2","3","3","5","55","55","54","6","3","3","3","44","43","43","2"
"TOTALS","22,088","21,263","21,248","21,244","21,249","21,251","21,250","21,222","21,202","21,190","21,184","21,190","21,195","21,185","21,203","21,197","21,194","21,185","21,194"
"","","","1-Oct-04 2-Oct-04 3-Oct-04 4-Oct-04 5-Oct-04 6-Oct-04 7-Oct-04 8-Oct-04 9-Oct-04 10-Oct-04 11-Oct-04 12-Oct-04 13-Oct-04 14-Oct-04 15-Oct-04 16-Oct-04 17-Oct-04 18-Oct-04","","","","","","","","","","","","","","","",""
