"Location","Capacity","18-May-19","19-May-19","20-May-19","21-May-19","22-May-19","23-May-19","24-May-19","25-May-19","26-May-19","27-May-19","28-May-19","29-May-19","30-May-19","31-May-19","Avg Population"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","59","59","59","59","59","59","57","57","57","57","57","59","59","59","59"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,303","4,303","4,299","4,312","4,308","4,307","4,296","4,295","4,294","4,294","4,281","4,291","4,277","4,279","4296"
"Alcorn County","300","297","297","299","297","300","300","299","299","299","299","299","300","300","300","299"
"Bolivar County","369","290","290","289","293","292","294","294","294","294","294","294","293","292","292","292"
"Carroll County","280","276","276","274","277","275","277","277","277","277","277","277","277","276","275","276"
"Chickasaw County","310","306","306","306","310","310","310","308","308","308","308","307","310","308","307","307"
"George County","342","336","336","335","333","340","338","337","337","337","337","337","336","336","339","337"
"Holmes County","280","278","278","280","280","279","278","277","277","277","277","278","281","280","280","279"
"Issaquena County","297","307","307","306","314","314","314","314","314","314","314","312","314","310","310","310"
"Jefferson County","280","280","280","279","279","279","279","278","278","278","278","278","280","279","279","278"
"Kemper County","355","348","348","348","351","347","344","342","342","342","342","341","347","343","343","345"
"Leake County","280","278","278","279","279","279","279","278","278","278","278","276","276","273","275","278"
"Marion County","280","278","278","278","280","280","280","280","280","280","280","278","278","280","280","279"
"Stone County","326","279","279","279","278","277","279","278","277","277","277","276","275","280","279","279"
"Washington County","300","171","171","171","165","164","163","163","163","163","163","162","161","161","161","164"
"Winston County","280","279","279","278","279","274","274","273","273","273","273","270","267","265","265","275"
"Yazoo County","300","300","300","298","297","298","298","298","298","297","297","296","296","294","294","299"
"PRIVATE PRISONS","5,472","3,202","3,200","3,194","3,190","3,202","3,210","3,207","3,206","3,206","3,205","3,194","3,199","3,198","3,193","3202"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,274","1,273","1,270","1,269","1,281","1,280","1,280","1,280","1,280","1,280","1,275","1,275","1,275","1,271","1277"
"Marshall County","1,000","997","997","997","994","993","1,002","1,001","1,001","1,001","1,001","999","999","997","997","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","931","930","927","927","928","928","926","925","925","924","920","925","926","925","927"
"RESTITUTION CENTERS","10","7","7","8","8","8","8","7","8","8","8","9","9","8","8","8"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","6","6","5","5","5"
"Pascagoula","4","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","25","25","23","21","23","25","25","19","19","19","23","21","27","26","25"
"Madison","40","5","5","5","3","5","5","5","5","5","5","7","5","5","5","5"
"Noxubee","34","17","17","17","17","17","19","19","12","12","12","12","12","18","18","16"
"Rankin/Flowood","8","3","3","1","1","1","1","1","1","1","1","1","1","1","1","2"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","1","1","1","3","3","3","2","0"
"TOTALS","24,179","19,646","19,643","19,681","19,674","19,636","19,671","19,669","19,658","19,651","19,642","19,587","19,617","19,605","19,573","19645"
