"Location","Capacity 1-Sep-17","","2-Sep-17","3-Sep-17","4-Sep-17","5-Sep-17","6-Sep-17","7-Sep-17","8-Sep-17","9-Sep-17","10-Sep-17","11-Sep-17","12-Sep-17","13-Sep-17","14-Sep-17","15-Sep-17","16-Sep-17","17-Sep-17"
"Holmes County","280","224","224","224","224","223","222","222","223","223","223","222","222","224","222","222","222","222"
"Issaquena County","274","274","274","274","274","274","273","270","271","271","271","270","270","274","274","273","273","273"
"Jefferson County","280","276","276","275","275","275","272","278","280","280","279","279","279","280","278","278","278","278"
"Kemper County","355","350","350","350","350","351","349","352","350","349","349","349","348","347","343","349","349","349"
"Leake County","280","202","202","202","202","201","201","201","201","201","201","200","199","199","200","199","199","198"
"Marion County","280","224","224","224","224","224","223","224","224","224","224","224","224","224","224","223","223","223"
"Stone County","326","263","263","263","263","263","263","262","261","261","261","261","261","263","261","261","261","261"
"Washington County","300","216","216","216","216","214","212","222","222","222","222","220","220","219","218","218","217","217"
"Winston County","280","224","224","224","224","223","222","221","220","220","220","218","218","223","224","223","223","223"
"Yazoo County","300","238","238","238","238","239","239","238","239","239","239","237","237","238","239","239","239","239"
"PRIVATE PRISONS","5,972","3,122","3,120","3,120","3,117","3,113","3,108","3,106","3,108","3,107","3,106","3,102","3,102","3,118","3,115","3,110","3,109","3,108"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,227","1,226","1,226","1,224","1,223","1,222","1,222","1,216","1,215","1,215","1,214","1,214","1,213","1,211","1,207","1,206","1,205"
"Marshall County","1,000","999","998","998","998","996","995","994","999","999","999","997","997","1,000","998","997","997","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","896","896","896","895","894","891","890","893","893","892","891","891","905","906","906","906","906"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13","13","13","13","13","13","11","11","11"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","6","6","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2"
"TRANSITIONAL HOUSING","164","36","36","36","36","36","34","34","35","35","35","35","35","36","35","37","36","36"
"Madison","40","1","1","1","1","1","0","0","1","1","1","1","1","2","2","2","2","2"
"Noxubee","34","30","30","30","30","30","29","29","29","29","29","29","29","29","28","30","29","29"
"Rankin/Flowood","8","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,095","18,946","18,942","18,938","18,927","18,959","18,932","18,951","18,989","18,972","18,968","19,004","19,022","19,043","19,049","19,061","19,055","19,044"
