"Location","Capacity","20-Dec-18","21-Dec-18","22-Dec-18","23-Dec-18","24-Dec-18","25-Dec-18","26-Dec-18","27-Dec-18","28-Dec-18","29-Dec-18","30-Dec-18","31-Dec-18","Avg Population"
"Issaquena County","274","267","267","267","267","267","267","267","270","269","269","269","269","268"
"Jefferson County","280","270","269","269","269","269","269","268","275","277","277","277","277","269"
"Kemper County","355","260","260","260","260","260","260","259","255","260","260","260","260","258"
"Leake County","280","269","269","269","269","269","269","268","266","268","268","267","267","267"
"Marion County","280","269","269","268","268","268","268","268","268","267","267","267","267","268"
"Stone County","326","270","270","270","270","270","270","270","281","280","280","280","280","268"
"Washington County","300","177","176","176","176","176","176","176","176","174","174","174","174","173"
"Winston County","280","268","268","268","267","267","267","267","266","270","269","269","269","268"
"Yazoo County","300","239","240","240","240","240","240","241","247","256","256","256","256","243"
"PRIVATE PRISONS","5,472","3,199","3,205","3,205","3,205","3,204","3,204","3,201","3,194","3,193","3,192","3,191","3,192","3,196"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,272","1,279","1,279","1,279","1,278","1,278","1,276","1,273","1,272","1,272","1,271","1,272","1269"
"Marshall County","1,000","999","999","999","999","999","999","998","1,000","999","999","999","999","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","928","927","927","927","927","927","927","921","922","921","921","921","928"
"RESTITUTION CENTERS","10","10","10","10","10","10","10","10","9","9","9","9","9","10"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","6","6","6","6","6","6","6","5","5","5","5","5","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"TRANSITIONAL HOUSING","122","21","21","21","21","21","21","21","19","22","23","23","23","26"
"Madison","40","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Noxubee","34","14","14","14","14","14","14","14","14","17","17","17","17","18"
"Rankin/Flowood","8","5","5","5","5","5","5","5","3","3","4","4","4","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,308","19,512","19,507","19,492","19,486","19,478","19,468","19,461","19,390","19,383","19,380","19,376","19,370","19,477"
"","","20-Dec-18","21-Dec-18","22-Dec-18","23-Dec-18","24-Dec-18","25-Dec-18","26-Dec-18","27-Dec-18","28-Dec-18","29-Dec-18","30-Dec-18","31-Dec-18","Avg Population"
