"Location","Capacity","18-Aug-18","19-Aug-18","20-Aug-18","21-Aug-18","22-Aug-18","23-Aug-18","24-Aug-18","25-Aug-18","26-Aug-18","27-Aug-18","28-Aug-18","29-Aug-18","30-Aug-18","31-Aug-18","Avg Population"
"Yazoo County","300","243","243","242","239","239","239","239","239","239","239","239","239","239","238","241"
"PRIVATE PRISONS","5,472","3,238","3,238","3,242","3,240","3,242","3,238","3,234","3,233","3,231","3,225","3,223","3,219","3,218","3,217","3,235"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,308","1,308","1,314","1,313","1,316","1,314","1,313","1,313","1,312","1,310","1,308","1,306","1,305","1,304","1308"
"Marshall County","1,000","996","996","996","995","994","994","993","993","993","992","992","991","991","988","995"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","934","934","932","932","932","930","928","927","926","923","923","922","922","925","932"
"RESTITUTION CENTERS","10","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3"
"TRANSITIONAL HOUSING","164","40","40","19","20","20","24","24","25","25","24","24","21","22","22","32"
"Madison","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Noxubee","34","34","34","13","13","13","17","17","17","17","16","16","13","13","13","26"
"Rankin/Flowood","8","5","5","5","6","6","6","6","6","6","6","6","6","7","7","5"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0"
"TOTALS","24,257","19,368","19,362","19,370","19,346","19,399","19,414","19,430","19,425","19,425","19,452","19,431","19,453","19,478","19,470","19,372"
