"Location","Capacity","18-Sep-18","19-Sep-18","20-Sep-18","21-Sep-18","22-Sep-18","23-Sep-18","24-Sep-18","25-Sep-18","26-Sep-18","27-Sep-18","28-Sep-18","29-Sep-18","30-Sep-18","Avg Population"
"Flowood TVC","50","32","32","31","31","31","31","28","27","24","25","25","25","25","35"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","52","52","51","54","54","54","55","55","55","55","53","53","53","51"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,634","3,630","3,624","3,661","3,661","3,659","3,646","3,645","3,655","3,680","3,681","3,679","3,679","3,652"
"Alcorn County","300","238","237","237","237","237","237","237","237","237","237","237","237","237","238"
"Bolivar County","369","294","294","293","292","292","292","292","292","292","294","294","293","293","292"
"Carroll County","280","264","264","264","264","264","264","261","264","264","269","268","268","268","264"
"Chickasaw County","310","240","240","240","239","239","239","239","239","239","239","240","240","240","240"
"George County","342","196","194","194","201","201","201","200","200","200","199","199","198","198","198"
"Holmes County","280","199","199","196","194","194","194","193","192","191","201","200","200","200","198"
"Issaquena County","274","270","269","267","267","267","267","267","267","265","265","265","265","265","267"
"Jefferson County","280","265","265","264","269","269","268","268","270","270","269","269","269","269","268"
"Kemper County","355","255","255","253","257","257","257","255","254","260","260","259","259","259","257"
"Leake County","280","266","266","270","268","268","268","265","264","269","268","267","267","267","268"
"Marion County","280","267","267","268","271","271","271","271","269","268","268","271","271","271","268"
"Stone County","326","199","199","199","200","200","200","199","198","198","198","200","200","200","200"
"Washington County","300","179","179","179","190","190","190","190","190","189","200","200","200","200","190"
"Winston County","280","265","265","263","268","268","267","266","266","270","270","270","270","270","265"
"Yazoo County","300","237","237","237","244","244","244","243","243","243","243","242","242","242","240"
"PRIVATE PRISONS","5,472","3,206","3,216","3,222","3,219","3,218","3,218","3,214","3,214","3,232","3,231","3,233","3,233","3,233","3,214"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,288","1,288","1,288","1,286","1,285","1,285","1,284","1,285","1,299","1,299","1,298","1,298","1,298","1292"
"Marshall County","1,000","992","991","998","998","998","998","997","996","999","998","1,000","1,000","1,000","992"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","926","937","936","935","935","935","933","933","934","934","935","935","935","930"
"RESTITUTION CENTERS","10","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","27","27","28","28","28","29","27","29","35","36","36","36","36","28"
"Madison","40","1","1","1","1","1","2","2","2","2","2","2","2","2","1"
"Noxubee","34","20","19","19","19","19","19","19","19","25","25","25","25","25","20"
"Rankin/Flowood","8","6","7","8","8","8","8","6","8","8","8","8","8","8","7"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"TOTALS","24,334","19,406","19,435","19,430","19,427","19,427","19,416","19,372","19,367","19,390","19,414","19,428","19,426","19,414","19,414"
