"Location","Capacity 1-Mar-18","","2-Mar-18","3-Mar-18","4-Mar-18","5-Mar-18","6-Mar-18","7-Mar-18","8-Mar-18","9-Mar-18","10-Mar-18","11-Mar-18","12-Mar-18","13-Mar-18","14-Mar-18","15-Mar-18","16-Mar-18","17-Mar-18"
"Leflore TVC Support","20","19","19","19","19","19","19","19","19","19","19","19","19","19","18","19","19","19"
"Madison Satellite Facility","62","62","62","62","62","62","62","62","62","62","62","62","62","61","60","60","58","58"
"Noxubee Satellite Facility","58","52","50","50","50","50","50","50","50","54","54","54","54","54","54","53","52","52"
"Pike Satellite Facility","93","84","79","79","79","79","79","79","79","79","79","79","84","57","85","85","83","83"
"Quitman Satellite Facility","93","45","53","53","53","51","51","51","50","46","46","46","46","35","39","39","45","45"
"Rankin Satellite Facility","178","150","148","148","148","148","148","147","145","149","149","149","149","147","146","146","145","145"
"Rankin RID","28","22","23","23","23","23","23","23","23","24","24","24","24","24","24","24","24","24"
"Flowood TVC","50","22","22","22","22","22","20","17","17","17","17","17","16","15","14","14","14","14"
"Simpson TVC","82","30","30","30","29","27","26","24","25","24","23","23","23","22","23","22","44","44"
"Simpson TVC Support","20","11","10","10","10","11","11","11","11","11","11","11","11","11","11","10","10","10"
"Washington Satellite Facility","60","51","50","50","50","51","54","54","54","53","53","53","54","54","54","53","52","51"
"Wilkinson Satellite Facility","62","47","46","46","46","47","46","45","45","44","44","44","45","44","46","51","50","50"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,302","4,311","4,309","4,309","4,322","4,318","4,303","4,304","4,349","4,348","4,346","4,366","4,352","4,357","4,347","4,353","4,351"
"Alcorn County","300","287","299","299","299","299","298","298","298","298","298","298","298","297","297","295","294","294"
"Bolivar County","369","293","292","292","292","292","291","291","291","289","289","289","291","289","289","289","288","288"
"Carroll County","280","276","275","275","275","273","272","272","275","274","274","274","274","273","271","274","273","271"
"Chickasaw County","310","298","298","298","298","306","309","308","310","310","310","310","310","310","310","309","308","308"
"George County","342","333","334","334","334","338","337","335","334","334","333","332","341","340","340","338","337","337"
"Holmes County","280","280","280","279","279","277","277","277","277","277","277","277","277","275","274","274","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","273","272","272","272","272","272","274","274","272","272"
"Jefferson County","280","276","274","274","274","273","274","272","273","279","279","279","279","276","279","278","280","280"
"Kemper County","355","343","344","344","344","346","346","346","345","351","351","351","351","349","350","348","351","351"
"Leake County","280","271","268","268","268","271","271","269","270","276","276","276","276","275","279","279","277","277"
"Marion County","280","280","280","280","280","280","280","277","277","276","276","276","278","278","278","278","279","279"
"Stone County","326","320","320","320","320","318","317","316","314","325","325","325","325","325","324","324","324","324"
"Washington County","300","213","215","215","215","219","218","217","217","217","217","217","216","216","214","212","211","211"
"Winston County","280","266","265","265","265","264","262","262","262","280","280","279","278","277","279","276","280","280"
"Yazoo County","300","292","293","292","292","292","292","289","288","291","291","291","300","300","299","299","299","299"
"PRIVATE PRISONS","5,972","3,207","3,206","3,206","3,206","3,204","3,200","3,197","3,197","3,191","3,190","3,189","3,188","3,185","3,180","3,178","3,176","3,176"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,281","1,281","1,281","1,281","1,279","1,277","1,274","1,274","1,270","1,269","1,270","1,269","1,267","1,265","1,264","1,263","1,263"
"Marshall County","1,000","999","999","999","999","999","998","998","998","999","999","998","998","998","998","998","998","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","927","926","926","926","926","925","925","925","922","922","921","921","920","917","916","915","915"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","11","11","11","11","11","10","10","10","10","11","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","5","5"
"Hinds","6","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","40","40","40","40","39","39","37","43","42","41","41","41","39","39","42","39","42"
"Madison","40","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4"
"Noxubee","34","24","24","24","24","24","24","23","27","27","27","27","27","27","27","27","27","27"
"Rankin/Flowood","8","9","9","9","9","9","9","8","8","8","8","8","8","8","8","11","8","11"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","5","5","5","5","4","4","4","4","3","2","2","2","0","0","0","0","0"
"TOTALS","24,237","19,081","19,109","19,111","19,104","19,131","19,171","19,188","19,215","19,198","19,191","19,187","19,295","19,209","19,232","19,250","19,231","19,223"
